Position	Mean	SD	End	BG	DataType
1	0.829281354621912	0.0096964444915492	5	Data	mRNA
2	0.843684811002562	0.00973410058666201	5	Data	mRNA
3	0.836341872455564	0.0096964444915492	5	Data	mRNA
4	0.83756569554673	0.00963996034887998	5	Data	mRNA
5	0.84170786600914	0.009687030467771	5	Data	mRNA
6	0.841896146484704	0.00965878839643639	5	Data	mRNA
7	0.838224677211205	0.00959289022998897	5	Data	mRNA
8	0.835306329839962	0.00949874999220693	5	Data	mRNA
9	0.833894226273231	0.00946109389709412	5	Data	mRNA
10	0.831258299615334	0.00942343780198131	5	Data	mRNA
11	0.827775110817399	0.00935565683077825	5	Data	mRNA
12	0.823915361068336	0.00930011409048685	5	Data	mRNA
13	0.821091153934875	0.00932459055231018	5	Data	mRNA
14	0.811488849681108	0.00643636805715746	5	Data	mRNA
15	0.806875978029788	0.00638741513351081	5	Data	mRNA
16	0.804145911134109	0.00636199726930966	5	Data	mRNA
17	0.798120935916059	0.00611064283443164	5	Data	mRNA
18	0.794543606880342	0.00610781862729818	5	Data	mRNA
19	0.788989332851202	0.00607392814169664	5	Data	mRNA
20	0.785129583102139	0.00592989357789014	5	Data	mRNA
21	0.779763589548563	0.00591765534697847	5	Data	mRNA
22	0.774021035043859	0.00592047955411193	5	Data	mRNA
23	0.770067145057014	0.00589976870179989	5	Data	mRNA
24	0.76338318817449	0.00594119040642398	5	Data	mRNA
25	0.758487895809824	0.00593460058977924	5	Data	mRNA
26	0.755192987487453	0.00593836619929052	5	Data	mRNA
27	0.75086253654948	0.00591765534697847	5	Data	mRNA
28	0.747473487989327	0.00595907705160257	5	Data	mRNA
29	0.740977811582367	0.00586870242333182	5	Data	mRNA
30	0.735235257077663	0.00591294833508937	5	Data	mRNA
31	0.735705958266573	0.00593930760166834	5	Data	mRNA
32	0.740130549442328	0.00594119040642398	5	Data	mRNA
33	0.742672335862443	0.00605604149651806	5	Data	mRNA
34	0.740130549442328	0.00606545552029626	5	Data	mRNA
35	0.740412970155674	0.0061275880772324	5	Data	mRNA
36	0.737494622784431	0.00613135368674368	5	Data	mRNA
37	0.733634873035368	0.00606827972742972	5	Data	mRNA
38	0.73278761089533	0.00601367838951614	5	Data	mRNA
39	0.731469647566381	0.00602215101091653	5	Data	mRNA
40	0.729963403761869	0.0061134670415651	5	Data	mRNA
41	0.728927861146267	0.00621231429123623	5	Data	mRNA
42	0.7277040380551	0.0061878378294129	5	Data	mRNA
43	0.725915373537242	0.00618124801276816	5	Data	mRNA
44	0.725162251634985	0.00617089258661214	5	Data	mRNA
45	0.725538812586113	0.00619442764605764	5	Data	mRNA
46	0.724503269970511	0.00619631045081328	5	Data	mRNA
47	0.725538812586113	0.00613511929625496	5	Data	mRNA
48	0.723561867592691	0.00607298673931882	5	Data	mRNA
49	0.721302501885922	0.00597131528251423	5	Data	mRNA
50	0.72262046521487	0.00595813564922475	5	Data	mRNA
