"ORF"	"Length"	"uATGs"	"FE_atg"	"FE_cap"	"utr"	"utr_gc"	"polyA"	"RPF"
"YAL001C"	1160	NA	-4.9	NA	NA	NA	21.4	36.279
"YAL002W"	1274	1	-0.7	-7	136	0.352941176470588	30.5	9.626
"YAL003W"	206	0	0	-1.5	22	0.363636363636364	23.7	2034.194
"YAL007C"	215	0	-3.2	-9.4	76	0.381578947368421	22.2	219.777
"YAL008W"	198	0	-1.4	-9.3	49	0.408163265306122	28.7	56.9
"YAL009W"	259	0	-1.7	-18	26	0.384615384615385	34.9	91.055
"YAL010C"	493	0	-0.4	-5.5	42	0.380952380952381	30.4	7.577
"YAL011W"	625	0	-0.3	-9	15	0.333333333333333	33.9	11.644
"YAL012W"	394	0	0	-1.5	65	0.4	28.7	352.014
"YAL013W"	405	0	-2.8	-8	19	0.263157894736842	30.2	32.053
"YAL014C"	255	1	-2.5	-13.3	49	0.408163265306122	38.4	41.717
"YAL015C"	399	NA	0	NA	NA	NA	10.2	58.165
"YAL016W"	635	0	-1.2	-6.9	88	0.375	24.3	166.825
"YAL017W"	1356	NA	-1.6	NA	NA	NA	0.7	36.939
"YAL018C"	325	NA	0	NA	NA	NA	NA	0
"YAL019W"	1131	0	0	-13.4	111	0.333333333333333	22	19.457
"YAL020C"	333	NA	-3.6	NA	NA	NA	NA	71.905
"YAL021C"	837	NA	-0.1	NA	NA	NA	31.1	31.026
"YAL022C"	517	0	-2.3	-11.7	17	0.294117647058824	35.8	134.418
"YAL023C"	759	0	-0.9	-5.9	89	0.370786516853933	23.9	135.827
"YAL024C"	1435	NA	-1.3	NA	NA	NA	19.5	7.691
"YAL025C"	306	0	-1.3	-7.2	24	0.333333333333333	32.5	145.046
"YAL026C"	1355	NA	-4.7	NA	NA	NA	NA	42.842
"YAL027W"	261	1	-3.3	-4.9	81	0.37037037037037	31.3	20.71
"YAL028W"	528	NA	-0.9	NA	NA	NA	44.8	5.317
"YAL029C"	1471	NA	0	NA	NA	NA	26.4	70.312
"YAL030W"	117	0	-3.1	-11	23	0.347826086956522	24.2	100.802
"YAL031C"	760	NA	-0.2	NA	NA	NA	28.5	13.943
"YAL032C"	379	0	-5.7	-5	21	0.333333333333333	37.4	36.387
"YAL033W"	173	NA	0	NA	NA	NA	27.7	142.3
"YAL034C"	413	NA	-1	NA	NA	NA	NA	8.597
"YAL034W-A"	289	0	-0.4	-9	45	0.377777777777778	30.1	10.162
"YAL035W"	1002	0	-0.7	-4	27	0.37037037037037	21.4	194.077
"YAL036C"	369	NA	-2.6	NA	NA	NA	20.5	172.506
"YAL037C-A"	30	NA	-4.8	NA	NA	NA	NA	1.799
"YAL037W"	267	NA	-2.1	NA	NA	NA	NA	15.833
"YAL038W"	500	0	0	-4	28	0.392857142857143	19	4933.687
"YAL039C"	269	0	0	-3.2	57	0.385964912280702	32	72.88
"YAL040C"	580	1	0	-8.8	322	0.397515527950311	30.1	16.391
"YAL041W"	854	0	-0.9	-13.7	33	0.393939393939394	21.1	25.744
"YAL042W"	415	0	0	-11.7	17	0.294117647058824	26.9	603.169
"YAL043C"	785	NA	0	NA	NA	NA	3.3	34.819
"YAL044C"	170	0	0	-7.3	10	0.5	25.3	1266.207
"YAL044W-A"	110	0	0	-12.7	2	1	34.2	248.865
"YAL046C"	118	NA	0	NA	NA	NA	NA	186.704
"YAL047C"	622	NA	0	NA	NA	NA	NA	4.798
"YAL048C"	662	0	-4	-13.2	2	1	NA	19.915
"YAL049C"	246	NA	0	NA	NA	NA	27.5	149.255
"YAL051W"	1047	0	-0.3	-8.8	26	0.384615384615385	33	11.918
"YAL053W"	783	NA	0	NA	NA	NA	29.3	52.07
"YAL054C"	713	NA	-0.4	NA	NA	NA	NA	7.306
"YAL055W"	180	0	0	-3.4	1	1	30.4	13.873
"YAL056W"	880	NA	0	NA	NA	NA	22.9	63.664
"YAL058W"	502	NA	0	NA	NA	NA	28.8	72.349
"YAL059W"	212	NA	-1.9	NA	NA	NA	NA	202.469
"YAL060W"	382	NA	-2.1	NA	NA	NA	NA	258.691
"YAL061W"	417	NA	-1	NA	NA	NA	NA	25.359
"YAL067C"	593	NA	0	NA	NA	NA	NA	4.406
"YAR002C-A"	219	NA	-0.3	NA	NA	NA	NA	620.356
"YAR002W"	539	0	-1.1	-3.9	43	0.372093023255814	25.1	43.511
"YAR003W"	426	0	0	-11.5	86	0.383720930232558	35.3	74.056
"YAR007C"	621	NA	0	NA	NA	NA	27	62.929
"YAR008W"	275	NA	-2.2	NA	NA	NA	28.2	75.698
"YAR014C"	709	0	-4.7	-11.8	151	0.357615894039735	33.9	60.677
"YAR015W"	306	0	0	-12.6	104	0.336538461538462	27.4	210.61
"YAR018C"	435	NA	-3.3	NA	NA	NA	NA	35.779
"YAR019C"	974	0	-2	-10.3	34	0.382352941176471	20.6	5.762
"YAR023C"	179	NA	-2.2	NA	NA	NA	57	8.152
"YAR027W"	235	NA	0	NA	NA	NA	NA	105.742
"YAR028W"	234	NA	-4.5	NA	NA	NA	32.4	79.372
"YAR029W"	74	NA	0	NA	NA	NA	NA	29.166
"YAR035W"	687	NA	0	NA	NA	NA	NA	12.944
"YAR042W"	1188	NA	0	NA	NA	NA	NA	18.781
"YBL001C"	104	0	-2.1	-9.2	62	0.403225806451613	20.2	897.815
"YBL002W"	131	0	0	-2.8	24	0.333333333333333	24.7	602.33
"YBL004W"	2493	NA	-0.4	NA	NA	NA	22.5	32.865
"YBL005W"	976	NA	-3	NA	NA	NA	41.1	11.036
"YBL006C"	180	NA	-2.2	NA	NA	NA	30.8	290.905
"YBL007C"	1244	0	-1.4	-11.9	50	0.42	28.5	67.124
"YBL008W"	840	NA	-4.6	NA	NA	NA	26.1	22.147
"YBL008W-A"	79	NA	-3.3	NA	NA	NA	NA	1.755
"YBL009W"	676	1	-2.2	-10.5	38	0.394736842105263	32.1	11.514
"YBL010C"	280	0	-1.4	-14.4	3	0.666666666666667	20.7	30.137
"YBL011W"	759	1	-1.9	-9.7	102	0.343137254901961	19.2	32.685
"YBL013W"	401	0	-0.1	-3.5	67	0.388059701492537	4.7	4.12
"YBL014C"	894	NA	-2.4	NA	NA	NA	NA	42.912
"YBL015W"	526	0	0	-4.3	93	0.354838709677419	21.5	57.006
"YBL016W"	353	NA	0	NA	NA	NA	NA	2.839
"YBL017C"	1579	NA	-1.2	NA	NA	NA	NA	61.712
"YBL018C"	133	1	-0.1	-9.6	34	0.382352941176471	27.9	213.145
"YBL019W"	520	0	-2.4	-13.3	33	0.393939393939394	35.3	15.721
"YBL020W"	574	0	-1.5	-9.5	56	0.392857142857143	40.4	35.318
"YBL021C"	144	0	-1.7	-7.1	48	0.395833333333333	32.1	91.7
"YBL022C"	1133	0	-1.3	-11.9	120	0.358333333333333	19.7	63.601
"YBL023C"	868	NA	0	NA	NA	NA	NA	40.662
"YBL024W"	684	NA	-1.6	NA	NA	NA	28.7	67.095
"YBL025W"	145	0	0	-5.1	49	0.408163265306122	NA	30.118
"YBL026W"	95	NA	-1.7	NA	NA	NA	30.5	160.506
"YBL028C"	106	0	-1.4	-6.9	28	0.392857142857143	30	278.195
"YBL029C-A"	94	1	0	-7.6	118	0.355932203389831	24.3	97.856
"YBL029W"	376	NA	0	NA	NA	NA	6.1	9.941
"YBL030C"	318	0	-0.7	-3.9	141	0.354609929078014	23.3	413.014
"YBL031W"	338	0	0	-9.8	31	0.419354838709677	37.4	10.77
"YBL032W"	381	NA	0	NA	NA	NA	21.4	107.03
"YBL033C"	345	0	0	-1.5	29	0.379310344827586	27.6	106.194
"YBL034C"	1513	NA	-6.4	NA	NA	NA	NA	7.711
"YBL035C"	705	NA	-1.6	NA	NA	NA	29.1	19.659
"YBL036C"	257	0	-2.4	-6.2	17	0.294117647058824	32.9	232.828
"YBL037W"	1025	NA	-0.6	NA	NA	NA	21.1	8.825
"YBL038W"	232	0	-1.6	-10.2	75	0.373333333333333	25.9	121.704
"YBL039C"	579	NA	0	NA	NA	NA	27.6	455.143
"YBL039W-B"	59	0	-0.5	-11.4	73	0.383561643835616	44.2	43.269
