"Year"	"Author"	"Dataset"	"position"	"count"	"end"
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	-20	509	5
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	-19	443	5
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	-18	464	5
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	-17	513	5
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	-16	499	5
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	-15	545	5
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	-14	456	5
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	-13	614	5
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	-12	693	5
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	-11	483	5
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	-10	507	5
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	-9	1260	5
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	-8	25185	5
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	-7	39418	5
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	-6	6652	5
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	-5	9780	5
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	-4	16833	5
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	-3	8292	5
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	-2	9540	5
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	-1	10083	5
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	0	4142	5
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	1	11179	5
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	2	11484	5
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	3	3322	5
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	4	9476	5
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	5	20653	5
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	6	3824	5
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	7	8378	5
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	8	10442	5
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	9	3139	5
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	10	8789	5
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	11	12681	5
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	12	3364	5
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	13	7662	5
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	14	12307	5
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	15	3582	5
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	16	7093	5
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	17	13087	5
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	18	3268	5
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	19	7293	5
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	20	11594	5
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	21	3253	5
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	22	7608	5
2015	"Sen"	"ribo_WT_TIF1_rep_2_37_deg"	23	11108	5
