Position	Mean	SD	End	BG	DataType
1	0.638527202216904	0.0433134927756065	5	Data	RPF
2	0.71106959558886	0.0453269536274975	5	Data	RPF
3	0.705289325200657	0.0438529846785055	5	Data	RPF
4	0.811068273304785	0.047639061782779	5	Data	RPF
5	0.754228947820782	0.0410399197562464	5	Data	RPF
6	0.829276125027626	0.0427450995207665	5	Data	RPF
7	0.542863727292132	0.0328223020210168	5	Data	RPF
8	0.688911892434079	0.0398260629747236	5	Data	RPF
9	0.652014499789379	0.039893499462586	5	Data	RPF
10	0.715790149739227	0.0403462873096619	5	Data	RPF
11	0.729277447311702	0.0426583954649434	5	Data	RPF
12	0.78226325920357	0.0435061684552133	5	Data	RPF
13	0.770221029228145	0.0443828427974242	5	Data	RPF
14	0.708661149593776	0.0401150764941338	5	Data	RPF
15	0.774845245538708	0.043496534671233	5	Data	RPF
16	0.76241766420407	0.045625600930888	5	Data	RPF
17	0.744017136801622	0.0396237535111365	5	Data	RPF
18	0.681686554448825	0.0365891115573295	5	Data	RPF
19	0.760972596607019	0.0441323644139354	5	Data	RPF
20	0.68467302748273	0.0384291642975744	5	Data	RPF
21	0.728795758112685	0.0394792467514314	5	Data	RPF
22	0.781781570004553	0.0410784548921677	5	Data	RPF
23	0.816944881532792	0.0432171549358031	5	Data	RPF
24	0.765115123718565	0.0412518630038138	5	Data	RPF
25	0.742186717845357	0.0426969306008648	5	Data	RPF
26	0.714248744302372	0.0410688211081874	5	Data	RPF
27	0.781203542965732	0.0413963697635189	5	Data	RPF
28	0.796328583814865	0.046617880680863	5	Data	RPF
29	0.688526541074866	0.0399127670305467	5	Data	RPF
30	0.742764744884177	0.0398742318946253	5	Data	RPF
31	0.746618258476313	0.0412518630038138	5	Data	RPF
32	0.72609829859819	0.0376199264432258	5	Data	RPF
33	0.76752356971365	0.040375188661603	5	Data	RPF
34	0.756830069495473	0.0412325954358532	5	Data	RPF
35	0.771184407626179	0.0424175508654349	5	Data	RPF
36	0.805191665076778	0.0454714603872026	5	Data	RPF
37	0.813862070659083	0.0449223347003232	5	Data	RPF
38	0.813669394979476	0.0453173198435171	5	Data	RPF
39	0.791800705344106	0.0410591873242071	5	Data	RPF
40	0.842089057721478	0.0439300549503482	5	Data	RPF
41	0.82484458439667	0.0455485306590453	5	Data	RPF
42	0.810586584105768	0.0437084779188004	5	Data	RPF
43	0.738814893452238	0.040490794069367	5	Data	RPF
44	0.852589882260048	0.0551052443675421	5	Data	RPF
45	0.841703706362264	0.0506448023846449	5	Data	RPF
46	0.828505422309199	0.0423308468096119	5	Data	RPF
47	0.763188366922497	0.0410688211081874	5	Data	RPF
48	0.779951151048288	0.0427161981688255	5	Data	RPF
49	0.859622544565696	0.0440841954940337	5	Data	RPF
50	0.867714923109181	0.0463770360813545	5	Data	RPF
51	0.893148112817277	0.0528124037802213	5	Data	RPF
52	0.862609017599601	0.0459916847221409	5	Data	RPF
53	0.882936301798118	0.0476005266468576	5	Data	RPF
54	0.850181436264963	0.0431593522319211	5	Data	RPF
55	0.819931354566697	0.0409821170523643	5	Data	RPF
56	0.874073220536205	0.0463963036493152	5	Data	RPF
57	0.790451975586858	0.042590958977081	5	Data	RPF
58	0.765018785878762	0.0412903981397352	5	Data	RPF
59	0.800374773086608	0.0442768711736405	5	Data	RPF
60	0.904708653593685	0.0476775969187003	5	Data	RPF
61	0.850566787624177	0.0432653238557048	5	Data	RPF
62	0.810008557066947	0.0412422292198335	5	Data	RPF
63	0.759045839810951	0.0384291642975744	5	Data	RPF
64	0.807696448911666	0.0420900022101034	5	Data	RPF
65	0.854998328255133	0.0488529185643017	5	Data	RPF
66	0.788428880950987	0.0421478049139854	5	Data	RPF
67	0.768294272432077	0.0404715265014063	5	Data	RPF
68	0.796135908135258	0.0429666765523143	5	Data	RPF
69	0.82966147638684	0.0421189035620444	5	Data	RPF
70	0.831106543983891	0.0463481347294135	5	Data	RPF
71	0.813380381460066	0.0432845914236655	5	Data	RPF
72	0.810490246265964	0.0444695468532472	5	Data	RPF
73	0.810008557066947	0.0424271846494153	5	Data	RPF
74	0.781685232164749	0.0423404805935922	5	Data	RPF
75	0.817908259930826	0.0449994049721659	5	Data	RPF
76	0.743246434083194	0.0383135588898103	5	Data	RPF
77	0.818197273450236	0.0458182766104948	5	Data	RPF
78	0.828601760149003	0.044151631981896	5	Data	RPF
79	0.829468800707233	0.0493731428992401	5	Data	RPF
80	0.832647949420745	0.0450186725401266	5	Data	RPF
81	0.8654028149539	0.0489685239720658	5	Data	RPF
82	0.765596812917582	0.0394503453994904	5	Data	RPF
83	0.836116111653667	0.0448259968605198	5	Data	RPF
84	0.887464180268877	0.050365422649215	5	Data	RPF
85	0.848832706507716	0.0462517968896101	5	Data	RPF
86	0.874265896215812	0.0465311766250399	5	Data	RPF
87	0.834382030537206	0.0459627833701999	5	Data	RPF
88	0.779469461849271	0.0433905630474492	5	Data	RPF
89	0.780143826727895	0.0447103914527557	5	Data	RPF
90	0.806925746193239	0.0411362575960498	5	Data	RPF
91	0.836405125173078	0.0447585603726574	5	Data	RPF
92	0.807214759712649	0.0437855481906431	5	Data	RPF
93	0.848447355148502	0.0436217738629774	5	Data	RPF
94	0.843630463158332	0.0446525887488737	5	Data	RPF
95	0.893340788496884	0.0466082468968826	5	Data	RPF
96	0.88698249106986	0.0469261617682338	5	Data	RPF
97	0.817811922091022	0.046222895537669	5	Data	RPF
98	0.807022084033042	0.0465022752730989	5	Data	RPF
99	0.82908344934802	0.0483423280133437	5	Data	RPF
100	0.822917827600602	0.0460302198580623	5	Data	RPF
101	0.826867679032541	0.0475812590788969	5	Data	RPF
102	0.806444056994222	0.0460687549939836	5	Data	RPF
103	0.857888463449235	0.0440167590061713	5	Data	RPF
104	0.825904300634507	0.0495080158749648	5	Data	RPF
105	0.885248409953399	0.0488625523482821	5	Data	RPF
106	0.777061015854186	0.0439974914382106	5	Data	RPF
107	0.862801693279208	0.0486120739647932	5	Data	RPF
108	0.745558542238476	0.0428607049285306	5	Data	RPF
109	0.933320992015293	0.0504713942729988	5	Data	RPF
110	0.835730760294454	0.0442865049576208	5	Data	RPF
111	0.910199910462478	0.0505966334647432	5	Data	RPF
112	0.906731748229556	0.0483904969332454	5	Data	RPF
113	0.830817530464481	0.0449801374042052	5	Data	RPF
114	0.840836665804034	0.0478991739502481	5	Data	RPF
115	0.845749895634007	0.0426198603290221	5	Data	RPF
116	0.876674342210897	0.0506544361686252	5	Data	RPF
117	0.893437126336688	0.0467623874405681	5	Data	RPF
118	0.857792125609431	0.0456448684988487	5	Data	RPF
119	0.804613638037957	0.0427740008727075	5	Data	RPF
120	0.748256001752971	0.0448259968605198	5	Data	RPF
121	0.832455273741138	0.0430919157440587	5	Data	RPF
122	0.794690840538207	0.0440841954940337	5	Data	RPF
123	0.784479029519048	0.0432845914236655	5	Data	RPF
124	0.843148773959315	0.0462517968896101	5	Data	RPF
125	0.892859099297867	0.0491611996516726	5	Data	RPF
126	0.776579326655169	0.044036026574132	5	Data	RPF
127	0.772533137383427	0.0402403156858782	5	Data	RPF
128	0.825037260076277	0.0481303847657763	5	Data	RPF
129	0.8767706800507	0.0512420969914259	5	Data	RPF
130	0.858370152648252	0.0456352347148683	5	Data	RPF
131	0.829179787187823	0.049199734787594	5	Data	RPF
132	0.880527855803033	0.0465119090570792	5	Data	RPF
133	0.88669347755045	0.0491804672196333	5	Data	RPF
134	0.804806313717564	0.0474367523191918	5	Data	RPF
135	0.811068273304785	0.0440552941420927	5	Data	RPF
136	0.793438448620763	0.0449319684843036	5	Data	RPF
137	0.811260948984391	0.0469646969041552	5	Data	RPF
138	0.846809611871844	0.0463385009454331	5	Data	RPF
139	0.888812910026125	0.0504135915691167	5	Data	RPF
140	0.898543031846267	0.0536409092025305	5	Data	RPF
141	0.825904300634507	0.0496910577705913	5	Data	RPF
142	0.802494205562282	0.0420611008581624	5	Data	RPF
143	0.878504761167161	0.0520706024137351	5	Data	RPF
144	0.863861409517045	0.0470706685279389	5	Data	RPF
145	0.910199910462478	0.0511842942875439	5	Data	RPF
146	0.90711709958877	0.0521091375496565	5	Data	RPF
147	0.878504761167161	0.0484193982851865	5	Data	RPF
148	0.941606046238385	0.0511939280715242	5	Data	RPF
149	0.919930032282621	0.0511650267195832	5	Data	RPF
150	0.823206841120013	0.0457026712027307	5	Data	RPF
151	0.854612976895919	0.0464059374332955	5	Data	RPF
152	0.816366854493971	0.046165092833787	5	Data	RPF
153	0.792764083742139	0.0444599130692669	5	Data	RPF
154	0.929274802743551	0.061174528275156	5	Data	RPF
155	0.921375099879672	0.04823635638956	5	Data	RPF
156	0.863283382478225	0.0540166267777637	5	Data	RPF
157	0.744498826000639	0.0424560860013563	5	Data	RPF
158	0.851722841701817	0.0500571415618442	5	Data	RPF
159	0.878408423327358	0.0505388307608612	5	Data	RPF
160	0.791319016145089	0.0496525226346699	5	Data	RPF
161	0.841800044202068	0.046193994185728	5	Data	RPF
162	0.839487936046786	0.0463674022973741	5	Data	RPF
163	0.836405125173078	0.0486795104526556	5	Data	RPF
164	0.904515977914078	0.0503172537293133	5	Data	RPF
165	0.883225315317528	0.0512902659113276	5	Data	RPF
166	0.895363883132756	0.0517719551103446	5	Data	RPF
167	0.820798395124928	0.0450283063241069	5	Data	RPF
168	0.845653557794204	0.0496717902026306	5	Data	RPF
