Position	Counts	End
-20	273	5
-19	298	5
-18	291	5
-17	269	5
-16	323	5
-15	296	5
-14	251	5
-13	261	5
-12	274	5
-11	582	5
-10	5486	5
-9	47156	5
-8	68051	5
-7	39915	5
-6	14062	5
-5	12814	5
-4	7948	5
-3	9536	5
-2	13187	5
-1	7099	5
0	14863	5
1	12614	5
2	7109	5
3	14422	5
4	5950	5
5	15688	5
6	5216	5
7	6905	5
8	4744	5
9	7337	5
10	8013	5
11	3800	5
12	5413	5
13	7250	5
14	4310	5
15	4242	5
16	6909	5
17	3916	5
18	4404	5
19	5883	5
20	3394	5
21	5064	5
22	5939	5
23	3454	5
24	4044	5
25	5999	5
-20	2011	3
-19	3428	3
-18	4131	3
-17	1723	3
-16	3187	3
-15	4617	3
-14	1183	3
-13	188	3
-12	81	3
-11	86	3
-10	81	3
-9	67	3
-8	51	3
-7	56	3
-6	51	3
-5	56	3
-4	48	3
-3	28	3
-2	39	3
-1	52	3
0	57	3
1	25	3
2	24	3
3	40	3
4	31	3
5	23	3
6	45	3
7	31	3
8	25	3
9	27	3
10	25	3
11	20	3
12	25	3
13	25	3
14	24	3
15	52	3
16	49	3
17	35	3
18	35	3
19	29	3
20	46	3
21	41	3
22	37	3
23	45	3
24	42	3
25	34	3
