ORF	Length	uATGs	FE_atg	FE_cap	utr	utr_gc	polyA	Data	Corr
YAL001C	3.06445798922692	NA	-4.9	NA	NA	NA	21.4	1.0054216173613	0
YAL002W	3.10516942799933	1	-0.7	-7	136	0.352941176470588	30.5	0.722222925426475	0
YAL003W	2.31386722036915	0	0	-1.5	22	0.363636363636364	23.7	3.79485988849091	1
YAL007C	2.33243845991561	0	-3.2	-9.4	76	0.381578947368421	22.2	2.31548166429209	1
YAL008W	2.29666519026153	0	-1.4	-9.3	49	0.408163265306122	28.7	1.94060510053328	1
YAL009W	2.41329976408125	0	-1.7	-18	26	0.384615384615385	34.9	1.36046808113888	0
YAL010C	2.69284691927723	0	-0.4	-5.5	42	0.380952380952381	30.4	1.09356610527911	0
YAL011W	2.79588001734408	0	-0.3	-9	15	0.333333333333333	33.9	1.36389934388686	0
YAL012W	2.59549622182557	0	0	-1.5	65	0.4	28.7	2.90400819924133	1
YAL013W	2.60745502321467	0	-2.8	-8	19	0.263157894736842	30.2	1.67472356959249	1
YAL014C	2.40654018043396	1	-2.5	-13.3	49	0.408163265306122	38.4	1.61460046566221	0
YAL015C	2.60097289568675	NA	0	NA	NA	NA	10.2	1.22953178714103	0
YAL016W	2.80277372529198	0	-1.2	-6.9	88	0.375	24.3	2.19613557682439	1
YAL017W	3.13225968953104	NA	-1.6	NA	NA	NA	0.7	1.12912749271939	1
YAL018C	2.51188336097887	NA	0	NA	NA	NA	NA	-Inf	0
YAL019W	3.05346260492546	0	0	-13.4	111	0.333333333333333	22	1.71699832711932	1
YAL020C	2.52244423350632	NA	-3.6	NA	NA	NA	NA	1.22243599623866	0
YAL021C	2.92272545799326	NA	-0.1	NA	NA	NA	31.1	1.71466205223726	1
YAL022C	2.71349054309394	0	-2.3	-11.7	17	0.294117647058824	35.8	1.51594140723258	1
YAL023C	2.88024177589548	0	-0.9	-5.9	89	0.370786516853933	23.9	2.35534215672841	1
YAL024C	3.15685190107001	NA	-1.3	NA	NA	NA	19.5	0.792213807443925	0
YAL025C	2.48572142648158	0	-1.3	-7.2	24	0.333333333333333	32.5	2.27157656623843	1
YAL026C	3.13193929521042	NA	-4.7	NA	NA	NA	NA	1.60273884231972	1
YAL027W	2.41664050733828	1	-3.3	-4.9	81	0.37037037037037	31.3	0.942355241313824	0
YAL028W	2.72263392253381	NA	-0.9	NA	NA	NA	44.8	0.552838177516159	0
YAL029C	3.16761267272753	NA	0	NA	NA	NA	26.4	1.38655962429236	1
YAL030W	2.06818586174616	0	-3.1	-11	23	0.347826086956522	24.2	1.7512175639347	0
YAL031C	2.88081359228079	NA	-0.2	NA	NA	NA	28.5	1.21992019129538	0
YAL032C	2.57863920996807	0	-5.7	-5	21	0.333333333333333	37.4	1.32002844080828	0
YAL033W	2.2380461031288	NA	0	NA	NA	NA	27.7	1.98294923971724	1
YAL034C	2.6159500516564	NA	-1	NA	NA	NA	NA	-0.247252674632791	0
YAL034W-A	2.46089784275655	0	-0.4	-9	45	0.377777777777778	30.1	1.41914484692848	0
YAL035W	3.00086772153123	0	-0.7	-4	27	0.37037037037037	21.4	2.6908700031402	1
YAL036C	2.56702636615906	NA	-2.6	NA	NA	NA	20.5	2.46430885932499	1
YAL037C-A	1.47712125471966	NA	-4.8	NA	NA	NA	NA	-Inf	0
YAL037W	2.42651126136458	NA	-2.1	NA	NA	NA	NA	0.234100678300005	0
YAL038W	2.69897000433602	0	0	-4	28	0.392857142857143	19	4.09231043078887	1
YAL039C	2.42975228000241	0	0	-3.2	57	0.385964912280702	32	1.79334228091787	1
YAL040C	2.76342799356294	1	0	-8.8	322	0.397515527950311	30.1	1.25359988822691	0
YAL041W	2.931457870689	0	-0.9	-13.7	33	0.393939393939394	21.1	1.44166226471513	1
YAL042W	2.61804809671209	0	0	-11.7	17	0.294117647058824	26.9	2.37501257013901	1
YAL043C	2.89486965674525	NA	0	NA	NA	NA	3.3	1.69672901005846	1
YAL044C	2.23044892137827	0	0	-7.3	10	0.5	25.3	2.3676652466943	1
YAL044W-A	2.04139268515822	0	0	-12.7	2	1	34.2	2.05406865774595	0
YAL046C	2.07188200730613	NA	0	NA	NA	NA	NA	1.77513281748789	0
YAL047C	2.79379038469082	NA	0	NA	NA	NA	NA	1.05772599269775	0
YAL048C	2.8208579894397	0	-4	-13.2	2	1	NA	1.18769092463548	0
YAL049C	2.39093510710338	NA	0	NA	NA	NA	27.5	1.77938738187391	1
YAL051W	3.01994668167884	0	-0.3	-8.8	26	0.384615384615385	33	1.25116804121758	1
YAL053W	2.89376176205794	NA	0	NA	NA	NA	29.3	1.75481160128928	1
YAL054C	2.85308952985187	NA	-0.4	NA	NA	NA	NA	0.425844468144624	0
YAL055W	2.25527250510331	0	0	-3.4	1	1	30.4	0.995238218070411	0
YAL056W	2.94448267215017	NA	0	NA	NA	NA	22.9	1.10534582065392	0
YAL058W	2.70070371714502	NA	0	NA	NA	NA	28.8	1.32420316384229	0
YAL059W	2.32633586092875	NA	-1.9	NA	NA	NA	NA	2.08358097835033	1
YAL060W	2.58206336291171	NA	-2.1	NA	NA	NA	NA	2.04534045105329	1
YAL061W	2.62013605497376	NA	-1	NA	NA	NA	NA	0.790115631317251	0
YAL067C	2.77305469336426	NA	0	NA	NA	NA	NA	-0.0981834670918238	0
YAR002C-A	2.34044411484012	NA	-0.3	NA	NA	NA	NA	2.41325455040475	1
YAR002W	2.73158876518674	0	-1.1	-3.9	43	0.372093023255814	25.1	1.71661160428514	1
YAR003W	2.62940959910272	0	0	-11.5	86	0.383720930232558	35.3	1.34186215901658	0
YAR007C	2.79309160017658	NA	0	NA	NA	NA	27	1.78811114872517	1
YAR008W	2.43933269383026	NA	-2.2	NA	NA	NA	28.2	1.35235595385729	0
YAR014C	2.85064623518307	0	-4.7	-11.8	151	0.357615894039735	33.9	1.70983324449712	1
YAR015W	2.48572142648158	0	0	-12.6	104	0.336538461538462	27.4	2.36848657924649	1
YAR018C	2.63848925695464	NA	-3.3	NA	NA	NA	NA	1.23621092583009	0
YAR019C	2.98855895687862	0	-2	-10.3	34	0.382352941176471	20.6	0.837109468974293	0
YAR023C	2.25285303097989	NA	-2.2	NA	NA	NA	57	0.0943621414729975	0
YAR027W	2.37106786227174	NA	0	NA	NA	NA	NA	1.54135579185871	0
YAR028W	2.36921585741014	NA	-4.5	NA	NA	NA	32.4	1.46390365684863	0
YAR029W	1.86923171973098	NA	0	NA	NA	NA	NA	-Inf	0
YAR035W	2.83695673705955	NA	0	NA	NA	NA	NA	0.140572000740918	0
YAR042W	3.07481644064517	NA	0	NA	NA	NA	NA	1.44173266165211	1
YBL001C	2.01703333929878	0	-2.1	-9.2	62	0.403225806451613	20.2	2.55956417729075	1
YBL002W	2.11727129565576	0	0	-2.8	24	0.333333333333333	24.7	3.03941816180065	1
YBL004W	3.39672227850377	NA	-0.4	NA	NA	NA	22.5	1.69127090491328	1
YBL005W	2.98944981766669	NA	-3	NA	NA	NA	41.1	0.907589489182342	0
YBL006C	2.25527250510331	NA	-2.2	NA	NA	NA	30.8	1.69420822240643	0
YBL007C	3.0948203803548	0	-1.4	-11.9	50	0.42	28.5	2.19909257059531	1
YBL008W	2.92427928606188	NA	-4.6	NA	NA	NA	26.1	1.17734298899011	0
