ORF	Length	uATGs	FE_atg	FE_cap	utr	utr_gc	polyA	Data	Corr
YAL001C	3.06445798922692	NA	-4.9	NA	NA	NA	21.4	1.52740602496013	1
YAL002W	3.10516942799933	1	-0.7	-7	136	0.352941176470588	30.5	1.55983525749851	1
YAL003W	2.31386722036915	0	0	-1.5	22	0.363636363636364	23.7	3.41258006404726	1
YAL007C	2.33243845991561	0	-3.2	-9.4	76	0.381578947368421	22.2	2.43050884682411	1
YAL008W	2.29666519026153	0	-1.4	-9.3	49	0.408163265306122	28.7	1.90872687042192	1
YAL009W	2.41329976408125	0	-1.7	-18	26	0.384615384615385	34.9	1.82820852171545	1
YAL010C	2.69284691927723	0	-0.4	-5.5	42	0.380952380952381	30.4	1.35827365884097	1
YAL011W	2.79588001734408	0	-0.3	-9	15	0.333333333333333	33.9	1.16134039740071	1
YAL012W	2.59549622182557	0	0	-1.5	65	0.4	28.7	2.9340860128756	1
YAL013W	2.60745502321467	0	-2.8	-8	19	0.263157894736842	30.2	1.9205975616986	1
YAL014C	2.40654018043396	1	-2.5	-13.3	49	0.408163265306122	38.4	2.13449659457895	1
YAL015C	2.60097289568675	NA	0	NA	NA	NA	10.2	1.6942969514518	1
YAL016W	2.80277372529198	0	-1.2	-6.9	88	0.375	24.3	2.32312185303638	1
YAL017W	3.13225968953104	NA	-1.6	NA	NA	NA	0.7	1.78484448069645	1
YAL018C	2.51188336097887	NA	0	NA	NA	NA	NA	-0.86598272981052	0
YAL019W	3.05346260492546	0	0	-13.4	111	0.333333333333333	22	1.14436255544811	1
YAL020C	2.52244423350632	NA	-3.6	NA	NA	NA	NA	1.73462581047757	1
YAL021C	2.92272545799326	NA	-0.1	NA	NA	NA	31.1	1.89257774751017	1
YAL022C	2.71349054309394	0	-2.3	-11.7	17	0.294117647058824	35.8	2.0569575476502	1
YAL023C	2.88024177589548	0	-0.9	-5.9	89	0.370786516853933	23.9	2.50921110137001	1
YAL024C	3.15685190107001	NA	-1.3	NA	NA	NA	19.5	1.10889734885775	1
YAL025C	2.48572142648158	0	-1.3	-7.2	24	0.333333333333333	32.5	1.16746595003478	1
YAL026C	3.13193929521042	NA	-4.7	NA	NA	NA	NA	1.49321397723421	1
YAL027W	2.41664050733828	1	-3.3	-4.9	81	0.37037037037037	31.3	1.47451613648336	1
YAL028W	2.72263392253381	NA	-0.9	NA	NA	NA	44.8	1.58373542438818	1
YAL029C	3.16761267272753	NA	0	NA	NA	NA	26.4	1.50200795668862	1
YAL030W	2.06818586174616	0	-3.1	-11	23	0.347826086956522	24.2	2.29133307853013	1
YAL031C	2.88081359228079	NA	-0.2	NA	NA	NA	28.5	1.77345886904051	1
YAL032C	2.57863920996807	0	-5.7	-5	21	0.333333333333333	37.4	1.55316400023542	1
YAL033W	2.2380461031288	NA	0	NA	NA	NA	27.7	1.75324084907833	1
YAL034C	2.6159500516564	NA	-1	NA	NA	NA	NA	1.61881944259538	1
YAL034W-A	2.46089784275655	0	-0.4	-9	45	0.377777777777778	30.1	1.23158982258141	1
YAL035W	3.00086772153123	0	-0.7	-4	27	0.37037037037037	21.4	2.20859104770339	1
YAL036C	2.56702636615906	NA	-2.6	NA	NA	NA	20.5	2.12121833077785	1
YAL037C-A	1.47712125471966	NA	-4.8	NA	NA	NA	NA	-0.00138690009698533	0
YAL037W	2.42651126136458	NA	-2.1	NA	NA	NA	NA	1.07214407192793	1
YAL038W	2.69897000433602	0	0	-4	28	0.392857142857143	19	3.85219592400374	1
YAL039C	2.42975228000241	0	0	-3.2	57	0.385964912280702	32	1.9054872625817	1
YAL040C	2.76342799356294	1	0	-8.8	322	0.397515527950311	30.1	1.62508536970793	1
YAL041W	2.931457870689	0	-0.9	-13.7	33	0.393939393939394	21.1	1.78922044206541	1
YAL042W	2.61804809671209	0	0	-11.7	17	0.294117647058824	26.9	2.64947170828488	1
YAL043C	2.89486965674525	NA	0	NA	NA	NA	3.3	1.94973443468461	1
YAL044C	2.23044892137827	0	0	-7.3	10	0.5	25.3	2.84510484777663	1
YAL044W-A	2.04139268515822	0	0	-12.7	2	1	34.2	2.10403363775722	1
YAL046C	2.07188200730613	NA	0	NA	NA	NA	NA	2.18671978145158	1
YAL047C	2.79379038469082	NA	0	NA	NA	NA	NA	0.883534929908665	1
YAL048C	2.8208579894397	0	-4	-13.2	2	1	NA	1.49777604745379	1
YAL049C	2.39093510710338	NA	0	NA	NA	NA	27.5	2.18472866057059	1
YAL051W	3.01994668167884	0	-0.3	-8.8	26	0.384615384615385	33	1.51063253936707	1
YAL053W	2.89376176205794	NA	0	NA	NA	NA	29.3	1.96364275754563	1
YAL054C	2.85308952985187	NA	-0.4	NA	NA	NA	NA	1.10984674345994	1
YAL055W	2.25527250510331	0	0	-3.4	1	1	30.4	1.46731080910134	1
YAL056W	2.94448267215017	NA	0	NA	NA	NA	22.9	1.72782608028402	1
YAL058W	2.70070371714502	NA	0	NA	NA	NA	28.8	1.73232803418541	1
YAL059W	2.32633586092875	NA	-1.9	NA	NA	NA	NA	1.25289969202467	1
YAL060W	2.58206336291171	NA	-2.1	NA	NA	NA	NA	2.58155770858915	1
YAL061W	2.62013605497376	NA	-1	NA	NA	NA	NA	2.37308388157301	1
YAL067C	2.77305469336426	NA	0	NA	NA	NA	NA	0.161281031057665	0
YAR002C-A	2.34044411484012	NA	-0.3	NA	NA	NA	NA	2.69844224296017	1
YAR002W	2.73158876518674	0	-1.1	-3.9	43	0.372093023255814	25.1	1.89915551475652	1
YAR003W	2.62940959910272	0	0	-11.5	86	0.383720930232558	35.3	1.83445641719211	1
YAR007C	2.79309160017658	NA	0	NA	NA	NA	27	2.20643475935781	1
YAR008W	2.43933269383026	NA	-2.2	NA	NA	NA	28.2	1.66363092531549	1
YAR014C	2.85064623518307	0	-4.7	-11.8	151	0.357615894039735	33.9	1.76401090421697	1
YAR015W	2.48572142648158	0	0	-12.6	104	0.336538461538462	27.4	2.12123511394288	1
YAR018C	2.63848925695464	NA	-3.3	NA	NA	NA	NA	1.60939893599729	1
YAR019C	2.98855895687862	0	-2	-10.3	34	0.382352941176471	20.6	1.40488959559928	1
YAR023C	2.25285303097989	NA	-2.2	NA	NA	NA	57	1.41352953227426	1
YAR027W	2.37106786227174	NA	0	NA	NA	NA	NA	2.07025129960048	1
YAR028W	2.36921585741014	NA	-4.5	NA	NA	NA	32.4	1.76267788900805	1
YAR029W	1.86923171973098	NA	0	NA	NA	NA	NA	1.39141346892264	0
YAR035W	2.83695673705955	NA	0	NA	NA	NA	NA	1.23018602560489	1
YAR042W	3.07481644064517	NA	0	NA	NA	NA	NA	1.71965275730082	1
YBL001C	2.01703333929878	0	-2.1	-9.2	62	0.403225806451613	20.2	2.5963325216879	1
YBL002W	2.11727129565576	0	0	-2.8	24	0.333333333333333	24.7	3.25100035247916	1
YBL004W	3.39672227850377	NA	-0.4	NA	NA	NA	22.5	0.815778543828411	1
YBL005W	2.98944981766669	NA	-3	NA	NA	NA	41.1	1.52329643580195	1
YBL006C	2.25527250510331	NA	-2.2	NA	NA	NA	30.8	2.1320437459065	1
YBL007C	3.0948203803548	0	-1.4	-11.9	50	0.42	28.5	2.20149688123296	1
YBL008W	2.92427928606188	NA	-4.6	NA	NA	NA	26.1	1.48066320742369	1
YBL008W-A	1.89762709129044	NA	-3.3	NA	NA	NA	NA	0.766040484894885	0
YBL009W	2.82994669594164	1	-2.2	-10.5	38	0.394736842105263	32.1	1.58827140551583	1
YBL010C	2.44715803134222	0	-1.4	-14.4	3	0.666666666666667	20.7	1.58628623603972	1
YBL011W	2.88024177589548	1	-1.9	-9.7	102	0.343137254901961	19.2	1.93570363834139	1
YBL013W	2.60314437262018	0	-0.1	-3.5	67	0.388059701492537	4.7	1.18032897295732	1
YBL014C	2.95133751879592	NA	-2.4	NA	NA	NA	NA	1.20794752319016	1
YBL015W	2.72098574415374	0	0	-4.3	93	0.354838709677419	21.5	1.81618009360376	1
YBL016W	2.54777470538782	NA	0	NA	NA	NA	NA	1.82572122172714	1
YBL017C	3.19838213000829	NA	-1.2	NA	NA	NA	NA	1.78523938829454	1
YBL018C	2.12385164096709	1	-0.1	-9.6	34	0.382352941176471	27.9	1.82694854572886	1
YBL019W	2.7160033436348	0	-2.4	-13.3	33	0.393939393939394	35.3	1.27835937438952	1
YBL020W	2.75891189239797	0	-1.5	-9.5	56	0.392857142857143	40.4	1.83429651550643	1
YBL021C	2.15836249209525	0	-1.7	-7.1	48	0.395833333333333	32.1	1.76704546678903	1
YBL022C	3.0542299098634	0	-1.3	-11.9	120	0.358333333333333	19.7	2.09248542229016	1
YBL023C	2.93851972517649	NA	0	NA	NA	NA	NA	1.62717525885793	1
YBL024W	2.83505610172012	NA	-1.6	NA	NA	NA	28.7	1.81111303958757	1
YBL025W	2.16136800223497	0	0	-5.1	49	0.408163265306122	NA	1.70203744566528	1
YBL026W	1.97772360528885	NA	-1.7	NA	NA	NA	30.5	1.97763117554486	1
YBL028C	2.02530586526477	0	-1.4	-6.9	28	0.392857142857143	30	1.38507329089162	1
YBL029C-A	1.9731278535997	1	0	-7.6	118	0.355932203389831	24.3	1.78196554397247	1
YBL029W	2.57518784492766	NA	0	NA	NA	NA	6.1	0.435323681147763	0
YBL030C	2.50242711998443	0	-0.7	-3.9	141	0.354609929078014	23.3	2.78596630218204	1
YBL031W	2.52891670027765	0	0	-9.8	31	0.419354838709677	37.4	1.3919573568859	1
YBL032W	2.58092497567562	NA	0	NA	NA	NA	21.4	2.35253142575543	1
YBL033C	2.53781909507327	0	0	-1.5	29	0.379310344827586	27.6	1.97795583579153	1
YBL034C	3.17983892802319	NA	-6.4	NA	NA	NA	NA	1.00153701776448	1
YBL035C	2.8481891169914	NA	-1.6	NA	NA	NA	29.1	1.64623997195142	1
YBL036C	2.40993312333129	0	-2.4	-6.2	17	0.294117647058824	32.9	2.23083205594113	1
YBL037W	3.01072386539177	NA	-0.6	NA	NA	NA	21.1	1.55837613277981	1
YBL038W	2.3654879848909	0	-1.6	-10.2	75	0.373333333333333	25.9	1.95504934634743	1
YBL039C	2.76267856372744	NA	0	NA	NA	NA	27.6	1.47807731258411	1
YBL039W-B	1.77085201164214	0	-0.5	-11.4	73	0.383561643835616	44.2	1.80574861768691	1
YBL040C	2.34044411484012	0	-2.1	-7.4	29	0.379310344827586	24	2.49425359171656	1
YBL041W	2.38201704257487	0	-0.4	-8	32	0.40625	33.5	2.60389165697988	1
YBL042C	2.8055008581584	0	-1.6	-6.4	57	0.385964912280702	23.7	1.42496804338963	1
YBL043W	2.40993312333129	NA	-3	NA	NA	NA	NA	0.00854922884545552	0
YBL044W	2.08635983067475	NA	-3.9	NA	NA	NA	NA	0.604829051002135	0
YBL045C	2.65991620006985	0	0	-8	98	0.357142857142857	24.5	2.32539275661575	1
YBL046W	2.64443858946784	0	-1.3	-8.5	9	0.555555555555556	23.6	1.55237771481032	1
YBL047C	3.14019367857863	NA	0	NA	NA	NA	NA	2.01706629485778	1
YBL049W	2.13987908640124	0	-2.1	-6.2	206	0.378640776699029	27.3	0.654314414082053	0
YBL050W	2.46538285144842	0	-1.4	-7.2	68	0.382352941176471	29.8	2.29804555915731	1
YBL051C	2.82477646247555	0	-0.3	-8.6	64	0.40625	26	1.73685624159867	1
YBL052C	2.91960102378411	NA	-1.4	NA	NA	NA	30.1	1.18499897867914	1
YBL054W	2.72015930340596	NA	-0.4	NA	NA	NA	NA	0.577340446752547	0
YBL055C	2.62117628177504	NA	0	NA	NA	NA	1.3	1.46403244821955	1
YBL056W	2.67024585307412	NA	0	NA	NA	NA	0.3	2.49950461135261	1
YBL057C	2.31806333496276	NA	-2.1	NA	NA	NA	NA	2.20144245907744	1
YBL058W	2.62634036737504	0	0	-9.3	42	0.380952380952381	29.5	2.61633975125967	1
YBL059C-A	2.03742649794062	NA	0	NA	NA	NA	NA	1.85843439673798	1
YBL059W	2.28555730900777	NA	-2.4	NA	NA	NA	26.9	1.46003384244282	1
YBL060W	2.83695673705955	NA	-0.2	NA	NA	NA	36.9	1.30880361877404	1
YBL061C	2.84260923961056	0	0	-8.6	101	0.346534653465347	23.4	1.59720605887478	1
YBL063W	3.04571405894087	0	-1.4	-10.5	18	0.277777777777778	27.6	0.894192738746101	1
YBL064C	2.41664050733828	0	-0.3	-8.8	13	0.384615384615385	26.8	2.55084151373979	1
YBL066C	3.05994188806195	1	-3.4	-11.6	68	0.382352941176471	26.6	1.15042149696013	1
YBL067C	2.8733206018154	0	-3.2	-8.9	268	0.369402985074627	34.8	1.51630481157859	1
YBL068W	2.51321760006794	NA	-1.5	NA	NA	NA	30.1	1.76621647650158	1
YBL069W	2.63245729218472	NA	-1.8	NA	NA	NA	34.1	1.63455977997567	1
YBL071C-B	1.50514997831991	NA	-1.6	NA	NA	NA	NA	0.883478266788759	0
YBL071W-A	1.91381385238372	0	-0.2	-4.6	44	0.363636363636364	37	1.99773187982001	1
YBL074C	2.55022835305509	0	-2.8	-9.2	15	0.333333333333333	NA	1.44964878630844	1
