ORF	Length	uATGs	FE_atg	FE_cap	utr	utr_gc	polyA	Data	Corr
YAL001C	3.06445798922692	NA	-4.9	NA	NA	NA	21.4	0.95913752082076	1
YAL002W	3.10516942799933	1	-0.7	-7	136	0.352941176470588	30.5	0.549761020162083	0
YAL003W	2.31386722036915	0	0	-1.5	22	0.363636363636364	23.7	3.91641070989725	1
YAL007C	2.33243845991561	0	-3.2	-9.4	76	0.381578947368421	22.2	2.14451626526013	1
YAL008W	2.29666519026153	0	-1.4	-9.3	49	0.408163265306122	28.7	1.46234940980884	1
YAL009W	2.41329976408125	0	-1.7	-18	26	0.384615384615385	34.9	1.05269977195213	0
YAL010C	2.69284691927723	0	-0.4	-5.5	42	0.380952380952381	30.4	1.01019373472259	0
YAL011W	2.79588001734408	0	-0.3	-9	15	0.333333333333333	33.9	0.925147642260045	0
YAL012W	2.59549622182557	0	0	-1.5	65	0.4	28.7	3.16316183269864	1
YAL013W	2.60745502321467	0	-2.8	-8	19	0.263157894736842	30.2	1.71503373989872	1
YAL014C	2.40654018043396	1	-2.5	-13.3	49	0.408163265306122	38.4	1.46206720696601	1
YAL015C	2.60097289568675	NA	0	NA	NA	NA	10.2	1.00561774266545	0
YAL016W	2.80277372529198	0	-1.2	-6.9	88	0.375	24.3	2.22385585813475	1
YAL017W	3.13225968953104	NA	-1.6	NA	NA	NA	0.7	1.04934930390627	1
YAL018C	2.51188336097887	NA	0	NA	NA	NA	NA	-Inf	0
YAL019W	3.05346260492546	0	0	-13.4	111	0.333333333333333	22	1.66521733532068	1
YAL020C	2.52244423350632	NA	-3.6	NA	NA	NA	NA	1.28127373638932	1
YAL021C	2.92272545799326	NA	-0.1	NA	NA	NA	31.1	1.88401499777017	1
YAL022C	2.71349054309394	0	-2.3	-11.7	17	0.294117647058824	35.8	1.51536839979085	1
YAL023C	2.88024177589548	0	-0.9	-5.9	89	0.370786516853933	23.9	2.17641709248809	1
YAL024C	3.15685190107001	NA	-1.3	NA	NA	NA	19.5	0.812575429823911	1
