"Year"	"Author"	"Dataset"	"position"	"count"	"end"
2014	"Pop"	"AGG-OE_mrna"	-20	9015	5
2014	"Pop"	"AGG-OE_mrna"	-19	11435	5
2014	"Pop"	"AGG-OE_mrna"	-18	10857	5
2014	"Pop"	"AGG-OE_mrna"	-17	10420	5
2014	"Pop"	"AGG-OE_mrna"	-16	12646	5
2014	"Pop"	"AGG-OE_mrna"	-15	8139	5
2014	"Pop"	"AGG-OE_mrna"	-14	8572	5
2014	"Pop"	"AGG-OE_mrna"	-13	9413	5
2014	"Pop"	"AGG-OE_mrna"	-12	7848	5
2014	"Pop"	"AGG-OE_mrna"	-11	9408	5
2014	"Pop"	"AGG-OE_mrna"	-10	7473	5
2014	"Pop"	"AGG-OE_mrna"	-9	6822	5
2014	"Pop"	"AGG-OE_mrna"	-8	6822	5
2014	"Pop"	"AGG-OE_mrna"	-7	8028	5
2014	"Pop"	"AGG-OE_mrna"	-6	6446	5
2014	"Pop"	"AGG-OE_mrna"	-5	6005	5
2014	"Pop"	"AGG-OE_mrna"	-4	6429	5
2014	"Pop"	"AGG-OE_mrna"	-3	6365	5
2014	"Pop"	"AGG-OE_mrna"	-2	6002	5
2014	"Pop"	"AGG-OE_mrna"	-1	5677	5
2014	"Pop"	"AGG-OE_mrna"	0	5264	5
2014	"Pop"	"AGG-OE_mrna"	1	5773	5
2014	"Pop"	"AGG-OE_mrna"	2	5960	5
2014	"Pop"	"AGG-OE_mrna"	3	5461	5
2014	"Pop"	"AGG-OE_mrna"	4	4969	5
2014	"Pop"	"AGG-OE_mrna"	5	5956	5
2014	"Pop"	"AGG-OE_mrna"	6	5206	5
2014	"Pop"	"AGG-OE_mrna"	7	6980	5
2014	"Pop"	"AGG-OE_mrna"	8	5251	5
2014	"Pop"	"AGG-OE_mrna"	9	4899	5
2014	"Pop"	"AGG-OE_mrna"	10	5392	5
2014	"Pop"	"AGG-OE_mrna"	11	6315	5
2014	"Pop"	"AGG-OE_mrna"	12	5509	5
2014	"Pop"	"AGG-OE_mrna"	13	5365	5
2014	"Pop"	"AGG-OE_mrna"	14	5803	5
2014	"Pop"	"AGG-OE_mrna"	15	5038	5
2014	"Pop"	"AGG-OE_mrna"	16	5244	5
2014	"Pop"	"AGG-OE_mrna"	17	5834	5
2014	"Pop"	"AGG-OE_mrna"	18	4972	5
2014	"Pop"	"AGG-OE_mrna"	19	4964	5
2014	"Pop"	"AGG-OE_mrna"	20	5860	5
2014	"Pop"	"AGG-OE_mrna"	21	5051	5
2014	"Pop"	"AGG-OE_mrna"	22	4894	5
2014	"Pop"	"AGG-OE_mrna"	23	5613	5
2014	"Pop"	"AGG-OE_mrna"	24	5072	5
2014	"Pop"	"AGG-OE_mrna"	25	5218	5
2014	"Pop"	"AGG-OE_mrna"	-20	11418	3
2014	"Pop"	"AGG-OE_mrna"	-19	10106	3
2014	"Pop"	"AGG-OE_mrna"	-18	9633	3
2014	"Pop"	"AGG-OE_mrna"	-17	11139	3
2014	"Pop"	"AGG-OE_mrna"	-16	10747	3
2014	"Pop"	"AGG-OE_mrna"	-15	10213	3
2014	"Pop"	"AGG-OE_mrna"	-14	10855	3
2014	"Pop"	"AGG-OE_mrna"	-13	10259	3
2014	"Pop"	"AGG-OE_mrna"	-12	10072	3
2014	"Pop"	"AGG-OE_mrna"	-11	11955	3
2014	"Pop"	"AGG-OE_mrna"	-10	10725	3
2014	"Pop"	"AGG-OE_mrna"	-9	10655	3
2014	"Pop"	"AGG-OE_mrna"	-8	12182	3
2014	"Pop"	"AGG-OE_mrna"	-7	11010	3
2014	"Pop"	"AGG-OE_mrna"	-6	10864	3
2014	"Pop"	"AGG-OE_mrna"	-5	11922	3
2014	"Pop"	"AGG-OE_mrna"	-4	11109	3
2014	"Pop"	"AGG-OE_mrna"	-3	10202	3
2014	"Pop"	"AGG-OE_mrna"	-2	12462	3
2014	"Pop"	"AGG-OE_mrna"	-1	10718	3
2014	"Pop"	"AGG-OE_mrna"	0	11146	3
2014	"Pop"	"AGG-OE_mrna"	1	10228	3
2014	"Pop"	"AGG-OE_mrna"	2	13922	3
2014	"Pop"	"AGG-OE_mrna"	3	10490	3
2014	"Pop"	"AGG-OE_mrna"	4	11392	3
2014	"Pop"	"AGG-OE_mrna"	5	9890	3
2014	"Pop"	"AGG-OE_mrna"	6	10647	3
2014	"Pop"	"AGG-OE_mrna"	7	10815	3
2014	"Pop"	"AGG-OE_mrna"	8	10569	3
2014	"Pop"	"AGG-OE_mrna"	9	10629	3
2014	"Pop"	"AGG-OE_mrna"	10	10466	3
2014	"Pop"	"AGG-OE_mrna"	11	11238	3
2014	"Pop"	"AGG-OE_mrna"	12	10631	3
2014	"Pop"	"AGG-OE_mrna"	13	10602	3
2014	"Pop"	"AGG-OE_mrna"	14	10517	3
2014	"Pop"	"AGG-OE_mrna"	15	10400	3
2014	"Pop"	"AGG-OE_mrna"	16	10316	3
2014	"Pop"	"AGG-OE_mrna"	17	11020	3
2014	"Pop"	"AGG-OE_mrna"	18	10592	3
2014	"Pop"	"AGG-OE_mrna"	19	10953	3
2014	"Pop"	"AGG-OE_mrna"	20	10813	3
2014	"Pop"	"AGG-OE_mrna"	21	10720	3
2014	"Pop"	"AGG-OE_mrna"	22	10635	3
2014	"Pop"	"AGG-OE_mrna"	23	11013	3
2014	"Pop"	"AGG-OE_mrna"	24	10227	3
2014	"Pop"	"AGG-OE_mrna"	25	10460	3
