Position	Mean	SD	End	BG	DataType
1	0.134095455844527	0.0171991997713632	5	Data	RPF
2	0.482597885110031	0.0386617605030009	5	Data	RPF
3	0.149399828522435	0.0199175478708202	5	Data	RPF
4	0.158145184338382	0.0214261217490712	5	Data	RPF
5	0.137520720205773	0.0182340668762504	5	Data	RPF
6	0.231970563018005	0.0344931408973993	5	Data	RPF
7	0.151221777650757	0.0195312946556159	5	Data	RPF
8	0.116969134038297	0.0168858245212918	5	Data	RPF
9	0.140435838811089	0.016689054015433	5	Data	RPF
10	0.139415547299228	0.0169004001143184	5	Data	RPF
11	0.142622177765076	0.0223516719062589	5	Data	RPF
12	0.149837096313232	0.0202017719348385	5	Data	RPF
13	0.130305801657616	0.0176729065447271	5	Data	RPF
14	0.139779937124893	0.0171263218062304	5	Data	RPF
15	0.120540154329809	0.0162517862246356	5	Data	RPF
16	0.142913689625607	0.0165505858816805	5	Data	RPF
17	0.124548442412118	0.0160185767362103	5	Data	RPF
18	0.174324092597885	0.0195677336381823	5	Data	RPF
19	0.129066876250357	0.0171481851957702	5	Data	RPF
20	0.172210631609031	0.0198956844812804	5	Data	RPF
21	0.139852815090026	0.0172647899399829	5	Data	RPF
22	0.160477279222635	0.0201726207487854	5	Data	RPF
23	0.176801943412404	0.0206609031151758	5	Data	RPF
24	0.167983709631323	0.0232917976564733	5	Data	RPF
25	0.135261503286653	0.0174761360388682	5	Data	RPF
26	0.157853672477851	0.0227597885110031	5	Data	RPF
27	0.165068591026007	0.0186057444984281	5	Data	RPF
28	0.182340668762504	0.0243339525578737	5	Data	RPF
29	0.192980851671906	0.0253906830523007	5	Data	RPF
30	0.184235495855959	0.0227889396970563	5	Data	RPF
31	0.178113746784796	0.0211346098885396	5	Data	RPF
32	0.217467847956559	0.0221840525864533	5	Data	RPF
33	0.151513289511289	0.0153991140325807	5	Data	RPF
34	0.19181480422978	0.0210544441268934	5	Data	RPF
35	0.210325807373535	0.0238821091740497	5	Data	RPF
36	0.18955558731066	0.020340240068591	5	Data	RPF
37	0.186931980565876	0.0219144041154616	5	Data	RPF
38	0.233209488425264	0.0255364389825664	5	Data	RPF
39	0.258060874535582	0.027941411831952	5	Data	RPF
