Position	Mean	SD	End	BG	DataType
1	0.838156656223594	0.0337730360963769	5	Data	mRNA
2	0.860155518591668	0.0304540772956285	5	Data	mRNA
3	0.863885760471471	0.0283689677320459	5	Data	mRNA
4	0.870485419181893	0.028435920791427	5	Data	mRNA
5	0.870485419181893	0.0257099748023396	5	Data	mRNA
6	0.875554722249319	0.0232709704963141	5	Data	mRNA
7	0.875459075021632	0.0222858040511352	5	Data	mRNA
8	0.867233413440526	0.0191772691512987	5	Data	mRNA
9	0.878902375218373	0.0193111752700609	5	Data	mRNA
10	0.884545561651923	0.0196746347352725	5	Data	mRNA
11	0.879954494722934	0.019378128329442	5	Data	mRNA
12	0.886841095116417	0.0195407286165104	5	Data	mRNA
13	0.891049573134657	0.0202676475469337	5	Data	mRNA
14	0.892197339866905	0.0201911297647838	5	Data	mRNA
15	0.893918989965276	0.0201337414281715	5	Data	mRNA
16	0.893249459371465	0.0195502933392791	5	Data	mRNA
17	0.889519217491661	0.0194737755571293	5	Data	mRNA
18	0.89200604541153	0.0194259519432856	5	Data	mRNA
19	0.893727695509901	0.0194642108343605	5	Data	mRNA
20	0.901092532041821	0.0200189647549467	5	Data	mRNA
21	0.894875462242148	0.0198850586361846	5	Data	mRNA
22	0.896597112340519	0.0199233175272595	5	Data	mRNA
23	0.897075348478956	0.0199902705866406	5	Data	mRNA
24	0.901762062635632	0.0198946233589533	5	Data	mRNA
25	0.898701351349639	0.0201624355964777	5	Data	mRNA
26	0.893632048282214	0.0203537300518522	5	Data	mRNA
27	0.889614864719348	0.0198563644678784	5	Data	mRNA
28	0.883971678285799	0.0198659291906471	5	Data	mRNA
29	0.877563314030752	0.0190529277553053	5	Data	mRNA
30	0.873833072150948	0.0189381510820805	5	Data	mRNA
31	0.878041550169188	0.0190337983097678	5	Data	mRNA
32	0.875363427793944	0.0191772691512987	5	Data	mRNA
33	0.880719672544432	0.0192250927651424	5	Data	mRNA
34	0.878711080762999	0.0188425038543932	5	Data	mRNA
35	0.869720241360395	0.0186799035673249	5	Data	mRNA
36	0.871250597003391	0.0186703388445562	5	Data	mRNA
37	0.878902375218373	0.0190816219236114	5	Data	mRNA
38	0.876606841753879	0.0185938210624063	5	Data	mRNA
39	0.876415547298504	0.0185938210624063	5	Data	mRNA
40	0.87938061135681	0.0187564213494747	5	Data	mRNA
41	0.881389203138243	0.0188425038543932	5	Data	mRNA
42	0.884162972741174	0.0192633516562173	5	Data	mRNA
43	0.874215661061697	0.0180581965873576	5	Data	mRNA
44	0.872876599874075	0.0178095137953707	5	Data	mRNA
45	0.877754608486126	0.0180199376962827	5	Data	mRNA
46	0.879954494722934	0.0180295024190514	5	Data	mRNA
47	0.885884622839545	0.0182112321516572	5	Data	mRNA
48	0.887032389571792	0.0181634085378136	5	Data	mRNA
49	0.895544992835959	0.0186320799534812	5	Data	mRNA
50	0.889997453630097	0.0183642677159569	5	Data	mRNA
51	0.899657823626512	0.0184981738347191	5	Data	mRNA
52	0.893536401054527	0.0183164441021132	5	Data	mRNA
53	0.882823911553552	0.0175130073895401	5	Data	mRNA
54	0.883110853236614	0.0175417015578463	5	Data	mRNA
55	0.889710511947036	0.017866902131983	5	Data	mRNA
56	0.884449914424235	0.0178382079636769	5	Data	mRNA
57	0.886936742344105	0.0177808196270645	5	Data	mRNA
58	0.888371450759414	0.0177521254587583	5	Data	mRNA
59	0.884067325513486	0.0177043018449147	5	Data	mRNA
60	0.892866870460716	0.0178860315775205	5	Data	mRNA
61	0.894014637192963	0.018010372973514	5	Data	mRNA
62	0.894205931648338	0.0181921027061198	5	Data	mRNA
63	0.891336514817719	0.0180390671418201	5	Data	mRNA
64	0.893345106599152	0.0180868907556638	5	Data	mRNA
65	0.885119445018046	0.0177138665676834	5	Data	mRNA
66	0.89095392590697	0.0178286432409081	5	Data	mRNA
67	0.887223684027166	0.0175034426667714	5	Data	mRNA
68	0.881197908682868	0.0171208537560223	5	Data	mRNA
69	0.883397794919675	0.0170921595877161	5	Data	mRNA
70	0.889040981353225	0.0175417015578463	5	Data	mRNA
71	0.879858847495246	0.0166521823403546	5	Data	mRNA
72	0.880528378089057	0.0163748053800615	5	Data	mRNA
73	0.876798136209253	0.0162791581523743	5	Data	mRNA
74	0.873928719378635	0.0163174170434492	5	Data	mRNA
75	0.882632617098177	0.0175225721123088	5	Data	mRNA
76	0.882441322642803	0.0173886659935467	5	Data	mRNA
77	0.890380042540846	0.0178860315775205	5	Data	mRNA
78	0.893345106599152	0.0179816788052078	5	Data	mRNA
79	0.886075917294919	0.0176469135083023	5	Data	mRNA
80	0.885023797790359	0.0175990898944587	5	Data	mRNA
81	0.881006614227493	0.0175225721123088	5	Data	mRNA
82	0.885119445018046	0.0188616332999307	5	Data	mRNA
83	0.882250028187428	0.0188042449633183	5	Data	mRNA
84	0.883780383830425	0.0188425038543932	5	Data	mRNA
85	0.887510625710228	0.0189381510820805	5	Data	mRNA
86	0.881293555910555	0.0184886091119503	5	Data	mRNA
87	0.88990180640241	0.0186799035673249	5	Data	mRNA
88	0.881867439276679	0.0183833971614943	5	Data	mRNA
89	0.886554153433355	0.0184025266070318	5	Data	mRNA
90	0.893918989965276	0.0185555621713314	5	Data	mRNA
91	0.887032389571792	0.0174651837756965	5	Data	mRNA
92	0.883684736602737	0.0174556190529278	5	Data	mRNA
93	0.893918989965276	0.0177903843498332	5	Data	mRNA
94	0.889423570263974	0.0175130073895401	5	Data	mRNA
95	0.892866870460716	0.0172547598747845	5	Data	mRNA
96	0.901666415407945	0.0173886659935467	5	Data	mRNA
97	0.901570768180258	0.0172547598747845	5	Data	mRNA
98	0.890284395313159	0.0156957100634819	5	Data	mRNA
99	0.890858278679283	0.0156957100634819	5	Data	mRNA
100	0.892962517688403	0.0157148395090193	5	Data	mRNA
101	0.888658392442476	0.0156957100634819	5	Data	mRNA
102	0.891814750956156	0.0156957100634819	5	Data	mRNA
103	0.888467097987101	0.0156670158951757	5	Data	mRNA
104	0.88358908937505	0.0155139803308761	5	Data	mRNA
105	0.887510625710228	0.0156957100634819	5	Data	mRNA
106	0.887128036799479	0.0156670158951757	5	Data	mRNA
107	0.886458506205668	0.0157722278456317	5	Data	mRNA
108	0.885215092245734	0.015657451172407	5	Data	mRNA
109	0.884449914424235	0.015762663122863	5	Data	mRNA
110	0.892197339866905	0.0158391809050128	5	Data	mRNA
111	0.893440753826839	0.0158583103505503	5	Data	mRNA
112	0.892197339866905	0.0160400400831561	5	Data	mRNA
113	0.886075917294919	0.0160591695286935	5	Data	mRNA
114	0.882250028187428	0.0161452520336121	5	Data	mRNA
115	0.888180156304039	0.0165374056671299	5	Data	mRNA
116	0.882919558781239	0.0166521823403546	5	Data	mRNA
117	0.881676144821304	0.0164130642711365	5	Data	mRNA
118	0.881389203138243	0.0163174170434492	5	Data	mRNA
119	0.876702488981566	0.0161356873108434	5	Data	mRNA
120	0.886362858977981	0.0163461112117554	5	Data	mRNA
121	0.881963086504366	0.0162026403702244	5	Data	mRNA
122	0.884354267196548	0.0164608878849801	5	Data	mRNA
123	0.881389203138243	0.0161356873108434	5	Data	mRNA
124	0.885502033928795	0.0173217129341656	5	Data	mRNA
125	0.883397794919675	0.0172834540430907	5	Data	mRNA
126	0.892484281549967	0.0174173601618528	5	Data	mRNA
127	0.889423570263974	0.0174364896073903	5	Data	mRNA
128	0.886267211750294	0.0173791012707779	5	Data	mRNA
129	0.887701920165603	0.0172738893203219	5	Data	mRNA
130	0.888180156304039	0.0174938779440027	5	Data	mRNA
131	0.879093669673748	0.0169869476372601	5	Data	mRNA
132	0.88253696987049	0.0174651837756965	5	Data	mRNA
133	0.878998022446061	0.017340842379703	5	Data	mRNA
134	0.875459075021632	0.0174269248846216	5	Data	mRNA
135	0.881867439276679	0.0176851723993772	5	Data	mRNA
136	0.880241436405995	0.0177712549042958	5	Data	mRNA
137	0.885023797790359	0.017972114082439	5	Data	mRNA
138	0.890571336996221	0.0179434199141329	5	Data	mRNA
139	0.887893214620977	0.018077326032895	5	Data	mRNA
140	0.894301578876025	0.0188903274682369	5	Data	mRNA
141	0.899466529171138	0.0190337983097678	5	Data	mRNA
142	0.900614295903385	0.0191772691512987	5	Data	mRNA
143	0.900614295903385	0.0192059633196049	5	Data	mRNA
144	0.909318193622927	0.0195502933392791	5	Data	mRNA
145	0.908266074118367	0.0196841994580413	5	Data	mRNA
146	0.909318193622927	0.0197798466857285	5	Data	mRNA
147	0.91237890490892	0.0198563644678784	5	Data	mRNA
148	0.903483712734003	0.0191963985968362	5	Data	mRNA
149	0.901283826497196	0.0191772691512987	5	Data	mRNA
150	0.904248890555501	0.0190242335869991	5	Data	mRNA
151	0.900327354220323	0.01864164467625	5	Data	mRNA
152	0.897075348478956	0.0184407854981067	5	Data	mRNA
153	0.906927012930745	0.0224101454471286	5	Data	mRNA
154	0.905683598970811	0.0223049334966726	5	Data	mRNA
155	0.906257482336934	0.0222953687739039	5	Data	mRNA
156	0.911996315998171	0.0224579690609723	5	Data	mRNA
157	0.901570768180258	0.0211858609327315	5	Data	mRNA
158	0.903196771050941	0.0213197670514937	5	Data	mRNA
159	0.910848549265923	0.0214536731702559	5	Data	mRNA
160	0.906257482336934	0.0213580259425686	5	Data	mRNA
161	0.907213954613807	0.0213962848336435	5	Data	mRNA
162	0.908935604712178	0.0213388964970311	5	Data	mRNA
163	0.905205362832374	0.0209371781407446	5	Data	mRNA
164	0.896788406795894	0.0206693659032202	5	Data	mRNA
165	0.916969971837909	0.0246482905750109	5	Data	mRNA
166	0.913526671641167	0.0245622080700923	5	Data	mRNA
167	0.912857141047356	0.0246195964067047	5	Data	mRNA
168	0.914770085601102	0.024676984743317	5	Data	mRNA
169	0.91132678540436	0.0245143844562487	5	Data	mRNA
170	0.893632048282214	0.02074588368537	5	Data	mRNA
171	0.892484281549967	0.0205163303389206	5	Data	mRNA
172	0.896597112340519	0.0214441084474871	5	Data	mRNA
