Position	Counts	End
-20	1967	5
-19	2495	5
-18	2304	5
-17	2370	5
-16	2451	5
-15	2395	5
-14	2209	5
-13	2538	5
-12	2379	5
-11	2610	5
-10	2261	5
-9	2575	5
-8	2636	5
-7	3067	5
-6	2883	5
-5	2727	5
-4	3119	5
-3	3309	5
-2	2981	5
-1	3127	5
0	3252	5
1	3649	5
2	4048	5
3	3973	5
4	3842	5
5	5981	5
6	3995	5
7	1495	5
8	1979	5
9	2387	5
10	3613	5
11	3961	5
12	3272	5
13	3268	5
14	4040	5
15	3392	5
16	4101	5
17	4061	5
18	3927	5
19	4069	5
20	4225	5
21	4121	5
22	4269	5
23	4338	5
24	4192	5
25	4461	5
-20	4576	3
-19	4427	3
-18	4135	3
-17	4330	3
-16	4606	3
-15	4555	3
-14	4021	3
-13	3926	3
-12	3890	3
-11	4467	3
-10	3815	3
-9	3996	3
-8	3873	3
-7	3871	3
-6	3890	3
-5	3938	3
-4	3662	3
-3	3114	3
-2	4191	3
-1	4078	3
0	4320	3
1	4913	3
2	5512	3
3	2879	3
4	3272	3
5	3850	3
6	4051	3
7	3747	3
8	3793	3
9	3575	3
10	3461	3
11	3824	3
12	3569	3
13	3503	3
14	3531	3
15	3631	3
16	3483	3
17	3740	3
18	3486	3
19	3563	3
20	3530	3
21	3699	3
22	3566	3
23	3471	3
24	3317	3
25	3520	3
