"ORF"	"Length"	"uATGs"	"FE_atg"	"FE_cap"	"utr"	"utr_gc"	"polyA"	"RPF"
"YAL001C"	1160	NA	-4.9	NA	NA	NA	21.4	29.956
"YAL002W"	1274	1	-0.7	-7	136	0.352941176470588	30.5	16.911
"YAL003W"	206	0	0	-1.5	22	0.363636363636364	23.7	702.853
"YAL007C"	215	0	-3.2	-9.4	76	0.381578947368421	22.2	253.12
"YAL008W"	198	0	-1.4	-9.3	49	0.408163265306122	28.7	352.99
"YAL009W"	259	0	-1.7	-18	26	0.384615384615385	34.9	38.998
"YAL010C"	493	0	-0.4	-5.5	42	0.380952380952381	30.4	32.854
"YAL011W"	625	0	-0.3	-9	15	0.333333333333333	33.9	11.576
"YAL012W"	394	0	0	-1.5	65	0.4	28.7	960.664
"YAL013W"	405	0	-2.8	-8	19	0.263157894736842	30.2	61.961
"YAL014C"	255	1	-2.5	-13.3	49	0.408163265306122	38.4	94.255
"YAL015C"	399	NA	0	NA	NA	NA	10.2	55.645
"YAL016W"	635	0	-1.2	-6.9	88	0.375	24.3	275.75
"YAL017W"	1356	NA	-1.6	NA	NA	NA	0.7	76.373
"YAL018C"	325	NA	0	NA	NA	NA	NA	0.191
"YAL019W"	1131	0	0	-13.4	111	0.333333333333333	22	10.73
"YAL020C"	333	NA	-3.6	NA	NA	NA	NA	24.223
"YAL021C"	837	NA	-0.1	NA	NA	NA	31.1	82.277
"YAL022C"	517	0	-2.3	-11.7	17	0.294117647058824	35.8	43.22
"YAL023C"	759	0	-0.9	-5.9	89	0.370786516853933	23.9	88.534
"YAL024C"	1435	NA	-1.3	NA	NA	NA	19.5	5.565
"YAL025C"	306	0	-1.3	-7.2	24	0.333333333333333	32.5	11.712
"YAL026C"	1355	NA	-4.7	NA	NA	NA	NA	33.155
"YAL027W"	261	1	-3.3	-4.9	81	0.37037037037037	31.3	58.897
"YAL028W"	528	NA	-0.9	NA	NA	NA	44.8	15.551
"YAL029C"	1471	NA	0	NA	NA	NA	26.4	15.548
"YAL030W"	117	0	-3.1	-11	23	0.347826086956522	24.2	311.963
"YAL031C"	760	NA	-0.2	NA	NA	NA	28.5	31.291
"YAL032C"	379	0	-5.7	-5	21	0.333333333333333	37.4	35.734
"YAL033W"	173	NA	0	NA	NA	NA	27.7	68.361
"YAL034C"	413	NA	-1	NA	NA	NA	NA	196.829
"YAL034W-A"	289	0	-0.4	-9	45	0.377777777777778	30.1	21.316
"YAL035W"	1002	0	-0.7	-4	27	0.37037037037037	21.4	136.109
"YAL036C"	369	NA	-2.6	NA	NA	NA	20.5	31.254
"YAL037W"	267	NA	-2.1	NA	NA	NA	NA	4.134
"YAL038W"	500	0	0	-4	28	0.392857142857143	19	3312.557
"YAL039C"	269	0	0	-3.2	57	0.385964912280702	32	190.675
"YAL040C"	580	1	0	-8.8	322	0.397515527950311	30.1	23.478
"YAL041W"	854	0	-0.9	-13.7	33	0.393939393939394	21.1	53.655
"YAL042W"	415	0	0	-11.7	17	0.294117647058824	26.9	166.484
"YAL043C"	785	NA	0	NA	NA	NA	3.3	52.422
"YAL044C"	170	0	0	-7.3	10	0.5	25.3	451.314
"YAL044W-A"	110	0	0	-12.7	2	1	34.2	138.368
"YAL046C"	118	NA	0	NA	NA	NA	NA	143.695
"YAL047C"	622	NA	0	NA	NA	NA	NA	15.405
"YAL048C"	662	0	-4	-13.2	2	1	NA	22.081
"YAL049C"	246	NA	0	NA	NA	NA	27.5	198.689
"YAL051W"	1047	0	-0.3	-8.8	26	0.384615384615385	33	38.529
"YAL053W"	783	NA	0	NA	NA	NA	29.3	95.736
"YAL054C"	713	NA	-0.4	NA	NA	NA	NA	11.519
"YAL055W"	180	0	0	-3.4	1	1	30.4	48.038
"YAL056W"	880	NA	0	NA	NA	NA	22.9	26.813
"YAL058W"	502	NA	0	NA	NA	NA	28.8	29.018
"YAL059W"	212	NA	-1.9	NA	NA	NA	NA	15.386
"YAL060W"	382	NA	-2.1	NA	NA	NA	NA	927.639
"YAL061W"	417	NA	-1	NA	NA	NA	NA	476.867
"YAL067C"	593	NA	0	NA	NA	NA	NA	1.176
"YAR002C-A"	219	NA	-0.3	NA	NA	NA	NA	224.217
"YAR002W"	539	0	-1.1	-3.9	43	0.372093023255814	25.1	62.614
"YAR003W"	426	0	0	-11.5	86	0.383720930232558	35.3	43.567
"YAR007C"	621	NA	0	NA	NA	NA	27	277.308
"YAR008W"	275	NA	-2.2	NA	NA	NA	28.2	21.669
"YAR014C"	709	0	-4.7	-11.8	151	0.357615894039735	33.9	29.181
"YAR015W"	306	0	0	-12.6	104	0.336538461538462	27.4	135.896
"YAR018C"	435	NA	-3.3	NA	NA	NA	NA	8.367
"YAR019C"	974	0	-2	-10.3	34	0.382352941176471	20.6	16.837
"YAR023C"	179	NA	-2.2	NA	NA	NA	57	2.997
"YAR027W"	235	NA	0	NA	NA	NA	NA	302.905
"YAR028W"	234	NA	-4.5	NA	NA	NA	32.4	42.888
"YAR029W"	74	NA	0	NA	NA	NA	NA	5.749
"YAR035W"	687	NA	0	NA	NA	NA	NA	7.778
"YAR042W"	1188	NA	0	NA	NA	NA	NA	61.171
"YBL001C"	104	0	-2.1	-9.2	62	0.403225806451613	20.2	733.262
"YBL002W"	131	0	0	-2.8	24	0.333333333333333	24.7	74.127
"YBL004W"	2493	NA	-0.4	NA	NA	NA	22.5	3.271
"YBL005W"	976	NA	-3	NA	NA	NA	41.1	37.61
"YBL006C"	180	NA	-2.2	NA	NA	NA	30.8	148.752
"YBL007C"	1244	0	-1.4	-11.9	50	0.42	28.5	145.332
"YBL008W"	840	NA	-4.6	NA	NA	NA	26.1	19.166
"YBL008W-A"	79	NA	-3.3	NA	NA	NA	NA	22.475
"YBL009W"	676	1	-2.2	-10.5	38	0.394736842105263	32.1	12.887
"YBL010C"	280	0	-1.4	-14.4	3	0.666666666666667	20.7	31.186
"YBL011W"	759	1	-1.9	-9.7	102	0.343137254901961	19.2	60.395
"YBL013W"	401	0	-0.1	-3.5	67	0.388059701492537	4.7	20.592
"YBL014C"	894	NA	-2.4	NA	NA	NA	NA	4.722
"YBL015W"	526	0	0	-4.3	93	0.354838709677419	21.5	119.824
"YBL016W"	353	NA	0	NA	NA	NA	NA	40.891
"YBL017C"	1579	NA	-1.2	NA	NA	NA	NA	75.826
