Position	Mean	SD	End	BG	DataType
1	3.17372632702054	0.0731739130434783	5	Data	RPF
2	7.43166177647373	0.131356628434249	5	Data	RPF
3	2.13440917578021	0.0540200053347559	5	Data	RPF
4	2.36839157108562	0.0602368631635103	5	Data	RPF
5	2.33710322752734	0.0605633502267271	5	Data	RPF
6	3.07305948252867	0.069283275540144	5	Data	RPF
7	2.73160842891438	0.0678957055214724	5	Data	RPF
8	2.77105894905308	0.0645764203787677	5	Data	RPF
9	2.82683382235263	0.060522539343825	5	Data	RPF
10	2.92750066684449	0.0646716457722059	5	Data	RPF
11	2.99415844225127	0.0734187783408909	5	Data	RPF
12	3.02816751133636	0.0675284075753534	5	Data	RPF
13	3.01184315817551	0.063569751933849	5	Data	RPF
14	3.17100560149373	0.0675012003200854	5	Data	RPF
15	3.27983462256602	0.0734051747132569	5	Data	RPF
16	3.36009602560683	0.0693648973059482	5	Data	RPF
17	3.45668178180848	0.0735956255001334	5	Data	RPF
18	3.5777540677514	0.0719631901840491	5	Data	RPF
19	3.56006935182715	0.0729426513736997	5	Data	RPF
20	3.54918644971993	0.0728610296078954	5	Data	RPF
21	3.49341157642038	0.0697457988797013	5	Data	RPF
22	3.64985329421179	0.0731058949053081	5	Data	RPF
23	3.61176313683649	0.0678548946385703	5	Data	RPF
24	3.61992531341691	0.0863694318484929	5	Data	RPF
25	3.63080821552414	0.0681813817017871	5	Data	RPF
26	3.60496132301947	0.071174179781275	5	Data	RPF
27	3.64441184315818	0.0704939983995732	5	Data	RPF
28	3.62264603894372	0.0683582288610296	5	Data	RPF
29	3.49069085089357	0.0660592157908776	5	Data	RPF
30	3.51381701787143	0.0659503867698053	5	Data	RPF
31	3.56823152840758	0.0647668711656442	5	Data	RPF
32	3.54374499866631	0.0694465190717525	5	Data	RPF
33	3.43083488930381	0.0613659642571352	5	Data	RPF
34	3.24718591624433	0.0597879434515871	5	Data	RPF
35	3.37369965324086	0.0622774073086156	5	Data	RPF
36	3.33969058415577	0.0644947986129635	5	Data	RPF
37	3.24582555348093	0.0607538010136036	5	Data	RPF
38	3.14923979727927	0.0606721792477994	5	Data	RPF
39	3.00912243264871	0.0556796479061083	5	Data	RPF
40	2.99551880501467	0.0576793811683115	5	Data	RPF
41	2.99007735396106	0.063542544678581	5	Data	RPF
42	2.83091491064284	0.0548498266204321	5	Data	RPF
43	2.72752734062417	0.0549586556415044	5	Data	RPF
44	2.67447319285143	0.0537479327820752	5	Data	RPF
45	2.60917578020806	0.0514217124566551	5	Data	RPF
46	2.56156308348893	0.0511768471592425	5	Data	RPF
47	2.44865297412643	0.0497212590024006	5	Data	RPF
48	2.3207788743665	0.0473678314217124	5	Data	RPF
49	2.3588690317418	0.0507687383302214	5	Data	RPF
50	2.21467057882102	0.0470821552413977	5	Data	RPF
51	2.17385969591891	0.0459802614030408	5	Data	RPF
52	2.10584155774873	0.0435316084289144	5	Data	RPF
53	2.12216591090958	0.0431371032275273	5	Data	RPF
54	2.08135502800747	0.0430282742064551	5	Data	RPF
55	2.0174179781275	0.0428106161643105	5	Data	RPF
56	2.06230994931982	0.0438172846092291	5	Data	RPF
57	2.05278740997599	0.0420624166444385	5	Data	RPF
58	1.93443584955988	0.0434499866631102	5	Data	RPF
59	1.97524673246199	0.0431915177380635	5	Data	RPF
60	1.92763403574286	0.0413142171245666	5	Data	RPF
61	1.9017871432382	0.0425657508668978	5	Data	RPF
62	1.88138170178714	0.0393825020005335	5	Data	RPF
63	1.92219258468925	0.0413822352627367	5	Data	RPF
64	1.81472392638037	0.0401579087756735	5	Data	RPF
65	1.79839957321953	0.0404435849559883	5	Data	RPF
66	1.80384102427314	0.0397634035742865	5	Data	RPF
67	1.77119231795145	0.040715657508669	5	Data	RPF
68	1.79159775940251	0.0398586289677247	5	Data	RPF
69	1.77663376900507	0.0377500666844492	5	Data	RPF
70	1.67868765004001	0.0368930381435049	5	Data	RPF
71	1.79431848492931	0.0405388103494265	5	Data	RPF
72	1.70453454254468	0.0378180848226194	5	Data	RPF
73	1.76166977860763	0.0385662843424913	5	Data	RPF
74	1.7507868765004	0.0381173646305682	5	Data	RPF
75	1.65692184582555	0.0364577220592158	5	Data	RPF
76	1.69365164043745	0.0383078154174447	5	Data	RPF
77	1.6732461989864	0.0371651106961857	5	Data	RPF
78	1.6746065617498	0.0365121365697519	5	Data	RPF
79	1.68140837556682	0.0382534009069085	5	Data	RPF
80	1.65148039477194	0.0369474526540411	5	Data	RPF
81	1.69365164043745	0.038457455321419	5	Data	RPF
82	1.72766070952254	0.0375596158975727	5	Data	RPF
83	1.60522806081622	0.0358863696985863	5	Data	RPF
84	1.65284075753534	0.0378452920778874	5	Data	RPF
85	1.66508402240597	0.0381309682582022	5	Data	RPF
86	1.65828220858896	0.0377636703120832	5	Data	RPF
87	1.65012003200854	0.0379813283542278	5	Data	RPF
88	1.60930914910643	0.036172045878901	5	Data	RPF
89	1.65964257135236	0.0386615097359296	5	Data	RPF
90	1.65284075753534	0.037695652173913	5	Data	RPF
91	1.73310216057615	0.0411917844758602	5	Data	RPF
92	1.58482261936516	0.0364305148039477	5	Data	RPF
93	1.60250733528941	0.0368386236329688	5	Data	RPF
94	1.54129101093625	0.0362128567618031	5	Data	RPF
95	1.60658842357962	0.0385662843424913	5	Data	RPF
96	1.61066951186983	0.0382125900240064	5	Data	RPF
97	1.56985862896772	0.0379949319818618	5	Data	RPF
98	1.64059749266471	0.0401170978927714	5	Data	RPF
99	1.55353427580688	0.0359815950920245	5	Data	RPF
100	1.53040810882902	0.036525740197386	5	Data	RPF
101	1.55625500133369	0.0378997065884236	5	Data	RPF
102	1.51272339290477	0.0342267271272339	5	Data	RPF
103	1.53993064817285	0.0346892504667911	5	Data	RPF
104	1.49639903974393	0.0343083488930381	5	Data	RPF
105	1.523606295012	0.0379949319818618	5	Data	RPF
106	1.53312883435583	0.0367978127500667	5	Data	RPF
107	1.5208855694852	0.0371515070685516	5	Data	RPF
108	1.48143504934649	0.0360904241130968	5	Data	RPF
109	1.50728194185116	0.034240330754868	5	Data	RPF
110	1.523606295012	0.0360496132301947	5	Data	RPF
111	1.446065617498	0.0339002400640171	5	Data	RPF
112	1.46511069618565	0.0355326753801014	5	Data	RPF
113	1.54129101093625	0.0373419578554281	5	Data	RPF
114	1.45286743131502	0.0362128567618031	5	Data	RPF
115	1.50728194185116	0.0362944785276074	5	Data	RPF
116	1.53040810882902	0.0352061883168845	5	Data	RPF
117	1.46783142171246	0.0365121365697519	5	Data	RPF
118	1.43382235262737	0.0335465457455321	5	Data	RPF
119	1.47599359829288	0.0355326753801014	5	Data	RPF
120	1.446065617498	0.0356823152840758	5	Data	RPF
121	1.46238997065884	0.0382397972792745	5	Data	RPF
122	1.44878634302481	0.0357095225393438	5	Data	RPF
123	1.4827954121099	0.0368930381435049	5	Data	RPF
124	1.39165110696186	0.0326078954387837	5	Data	RPF
125	1.39981328354228	0.0336553747666044	5	Data	RPF
126	1.44198452920779	0.0358455588156842	5	Data	RPF
127	1.44198452920779	0.0358047479327821	5	Data	RPF
128	1.34580688183516	0.0337233929047746	5	Data	RPF
129	1.45422779407842	0.0352197919445185	5	Data	RPF
130	1.39165110696186	0.0339138436916511	5	Data	RPF
131	1.4066150973593	0.0358863696985863	5	Data	RPF
132	1.32417711389704	0.0319141104294479	5	Data	RPF
133	1.31710322752734	0.0320909575886903	5	Data	RPF
134	1.38076820485463	0.0344579887970125	5	Data	RPF
135	1.33655641504401	0.0345260069351827	5	Data	RPF
136	1.3317951453721	0.0330296078954388	5	Data	RPF
137	1.34322219258469	0.0338458255534809	5	Data	RPF
138	1.35886636436383	0.0328799679914644	5	Data	RPF
139	1.32009602560683	0.0325126700453454	5	Data	RPF
140	1.35016004267805	0.0343763670312083	5	Data	RPF
141	1.31383835689517	0.0321317684715924	5	Data	RPF
142	1.35328887703388	0.0345260069351827	5	Data	RPF
143	1.35723392904775	0.0351245665510803	5	Data	RPF
144	1.34716724459856	0.0325942918111496	5	Data	RPF
145	1.32172846092291	0.0333833022139237	5	Data	RPF
146	1.28391037610029	0.0320773539610563	5	Data	RPF
147	1.26024006401707	0.0310978927714057	5	Data	RPF
