"Year"	"Author"	"Dataset"	"Position"	"X5prime"	"Reads"	"SD"	"Type"	"DataType"
"2014"	"Pop"	"WT-URA_mrna"	499	0	0.9939	0	100	"mRNA"
"2014"	"Pop"	"WT-URA_mrna"	498	0	0.9923	0	100	"mRNA"
"2014"	"Pop"	"WT-URA_mrna"	497	0	0.9925	0	100	"mRNA"
"2014"	"Pop"	"WT-URA_mrna"	496	0	0.9975	0	100	"mRNA"
"2014"	"Pop"	"WT-URA_mrna"	495	0	0.9958	0	100	"mRNA"
"2014"	"Pop"	"WT-URA_mrna"	494	0	0.9982	0	100	"mRNA"
"2014"	"Pop"	"WT-URA_mrna"	493	0	0.9956	0	100	"mRNA"
"2014"	"Pop"	"WT-URA_mrna"	492	0	0.9918	0	100	"mRNA"
"2014"	"Pop"	"WT-URA_mrna"	491	0	0.9947	0	100	"mRNA"
"2014"	"Pop"	"WT-URA_mrna"	490	0	0.9953	0	100	"mRNA"
"2014"	"Pop"	"WT-URA_mrna"	489	0	0.9945	0	100	"mRNA"
"2014"	"Pop"	"WT-URA_mrna"	488	0	0.9965	0	100	"mRNA"
"2014"	"Pop"	"WT-URA_mrna"	487	0	1.0021	0	100	"mRNA"
"2014"	"Pop"	"WT-URA_mrna"	486	0	1.0034	0	100	"mRNA"
"2014"	"Pop"	"WT-URA_mrna"	485	0	1.0002	0	100	"mRNA"
"2014"	"Pop"	"WT-URA_mrna"	484	0	0.9994	0	100	"mRNA"
"2014"	"Pop"	"WT-URA_mrna"	483	0	0.9991	0	100	"mRNA"
"2014"	"Pop"	"WT-URA_mrna"	482	0	1.0008	0	100	"mRNA"
"2014"	"Pop"	"WT-URA_mrna"	481	0	0.9982	0	100	"mRNA"
"2014"	"Pop"	"WT-URA_mrna"	480	0	0.9932	0	100	"mRNA"
"2014"	"Pop"	"WT-URA_mrna"	479	0	0.9975	0	100	"mRNA"
"2014"	"Pop"	"WT-URA_mrna"	478	0	0.9975	0	100	"mRNA"
"2014"	"Pop"	"WT-URA_mrna"	477	0	0.9973	0	100	"mRNA"
"2014"	"Pop"	"WT-URA_mrna"	476	0	0.9953	0	100	"mRNA"
"2014"	"Pop"	"WT-URA_mrna"	475	0	0.9948	0	100	"mRNA"
"2014"	"Pop"	"WT-URA_mrna"	474	0	0.9891	0	100	"mRNA"
"2014"	"Pop"	"WT-URA_mrna"	473	0	0.9901	0	100	"mRNA"
"2014"	"Pop"	"WT-URA_mrna"	472	0	0.9921	0	100	"mRNA"
"2014"	"Pop"	"WT-URA_mrna"	471	0	0.9931	0	100	"mRNA"
"2014"	"Pop"	"WT-URA_mrna"	470	0	0.9982	0	100	"mRNA"
