Position	Counts	End
-20	7877	5
-19	10414	5
-18	11855	5
-17	13853	5
-16	18917	5
-15	13700	5
-14	14160	5
-13	13940	5
-12	14290	5
-11	16366	5
-10	14469	5
-9	14707	5
-8	13812	5
-7	15048	5
-6	14179	5
-5	13687	5
-4	14161	5
-3	13541	5
-2	12799	5
-1	12576	5
0	11972	5
1	13181	5
2	13306	5
3	15193	5
4	10565	5
5	12662	5
6	15070	5
7	7050	5
8	8037	5
9	10466	5
10	12770	5
11	12112	5
12	12496	5
13	12900	5
14	14074	5
15	12220	5
16	13348	5
17	12101	5
18	12428	5
19	12655	5
20	10728	5
21	11896	5
22	12037	5
23	9975	5
24	10870	5
25	10825	5
-20	20873	3
-19	21050	3
-18	20066	3
-17	17507	3
-16	19663	3
-15	21642	3
-14	17999	3
-13	17739	3
-12	18124	3
-11	16615	3
-10	17653	3
-9	19312	3
-8	17543	3
-7	17605	3
-6	19074	3
-5	18441	3
-4	18304	3
-3	18046	3
-2	19670	3
-1	19764	3
0	21867	3
1	22375	3
2	20799	3
3	21430	3
4	22286	3
5	20473	3
6	19569	3
7	19967	3
8	19742	3
9	18937	3
10	20341	3
11	19346	3
12	21604	3
13	20726	3
14	21323	3
15	23260	3
16	22204	3
17	22325	3
18	22111	3
19	21609	3
20	21285	3
21	21605	3
22	22277	3
23	22562	3
24	24292	3
25	26110	3
