Position	Counts	End
-20	599	5
-19	450	5
-18	565	5
-17	493	5
-16	447	5
-15	627	5
-14	476	5
-13	452	5
-12	452	5
-11	441	5
-10	645	5
-9	4375	5
-8	45494	5
-7	71567	5
-6	9310	5
-5	11588	5
-4	16191	5
-3	3697	5
-2	8922	5
-1	12149	5
0	2877	5
1	13863	5
2	12647	5
3	2876	5
4	8519	5
5	19281	5
6	5227	5
7	9977	5
8	15418	5
9	3156	5
10	12441	5
11	16414	5
12	3232	5
13	11380	5
14	19553	5
15	3254	5
16	11210	5
17	19884	5
18	3129	5
19	11942	5
20	17376	5
21	3255	5
22	13487	5
23	19861	5
24	4116	5
25	13195	5
-20	12383	3
-19	1867	3
-18	7007	3
-17	12859	3
-16	2044	3
-15	6958	3
-14	11751	3
-13	1599	3
-12	369	3
-11	261	3
-10	194	3
-9	123	3
-8	116	3
-7	99	3
-6	82	3
-5	78	3
-4	99	3
-3	65	3
-2	70	3
-1	58	3
0	70	3
1	60	3
2	65	3
3	39	3
4	61	3
5	54	3
6	52	3
7	54	3
8	50	3
9	44	3
10	65	3
11	52	3
12	71	3
13	38	3
14	64	3
15	36	3
16	58	3
17	50	3
18	37	3
19	58	3
20	50	3
21	45	3
22	45	3
23	63	3
24	41	3
25	339	3
