Position	Counts	End
-20	531	5
-19	539	5
-18	527	5
-17	488	5
-16	455	5
-15	477	5
-14	430	5
-13	454	5
-12	409	5
-11	323	5
-10	717	5
-9	4098	5
-8	14765	5
-7	11752	5
-6	2898	5
-5	5435	5
-4	5241	5
-3	3573	5
-2	5865	5
-1	4969	5
0	3474	5
1	7285	5
2	4405	5
3	3360	5
4	5413	5
5	8304	5
6	5538	5
7	3150	5
8	4674	5
9	2258	5
10	6627	5
11	4688	5
12	2723	5
13	5130	5
14	5172	5
15	2397	5
16	5561	5
17	4642	5
18	2222	5
19	5609	5
20	4396	5
21	2598	5
22	6049	5
23	4558	5
24	2349	5
25	5254	5
-20	1304	3
-19	715	3
-18	1851	3
-17	1418	3
-16	604	3
-15	1177	3
-14	673	3
-13	227	3
-12	209	3
-11	255	3
-10	151	3
-9	144	3
-8	110	3
-7	85	3
-6	60	3
-5	78	3
-4	42	3
-3	31	3
-2	40	3
-1	27	3
0	46	3
1	34	3
2	32	3
3	28	3
4	36	3
5	34	3
6	35	3
7	28	3
8	38	3
9	41	3
10	34	3
11	39	3
12	31	3
13	42	3
14	36	3
15	47	3
16	63	3
17	58	3
18	42	3
19	53	3
20	61	3
21	43	3
22	57	3
23	37	3
24	61	3
25	40	3
