ORF	Length	uATGs	FE_atg	FE_cap	utr	utr_gc	polyA	RPF
YAL001C	3.064	NA	-4.9	NA	NA	NA	21.4	1.633
YAL002W	3.105	1	-0.7	-7	136	0.3529	30.5	1.466
YAL003W	2.314	0	0	-1.5	22	0.3636	23.7	3.273
YAL007C	2.332	0	-3.2	-9.4	76	0.3816	22.2	2.243
YAL008W	2.297	0	-1.4	-9.3	49	0.4082	28.7	1.96
YAL009W	2.413	0	-1.7	-18	26	0.3846	34.9	1.926
YAL010C	2.693	0	-0.4	-5.5	42	0.381	30.4	1.633
YAL011W	2.796	0	-0.3	-9	15	0.3333	33.9	1.572
YAL012W	2.595	0	0	-1.5	65	0.4	28.7	2.587
YAL013W	2.607	0	-2.8	-8	19	0.2632	30.2	2.075
YAL014C	2.407	1	-2.5	-13.3	49	0.4082	38.4	2.142
YAL015C	2.601	NA	0	NA	NA	NA	10.2	1.999
YAL016W	2.803	0	-1.2	-6.9	88	0.375	24.3	2.171
YAL017W	3.132	NA	-1.6	NA	NA	NA	0.7	1.586
YAL018C	2.512	NA	0	NA	NA	NA	NA	0.4723
YAL019W	3.053	0	0	-13.4	111	0.3333	22	1.696
YAL020C	2.522	NA	-3.6	NA	NA	NA	NA	2.167
YAL021C	2.923	NA	-0.1	NA	NA	NA	31.1	1.738
YAL022C	2.713	0	-2.3	-11.7	17	0.2941	35.8	2.275
YAL023C	2.88	0	-0.9	-5.9	89	0.3708	23.9	2.327
YAL024C	3.157	NA	-1.3	NA	NA	NA	19.5	1.177
YAL025C	2.486	0	-1.3	-7.2	24	0.3333	32.5	2.269
YAL026C	3.132	NA	-4.7	NA	NA	NA	NA	1.621
YAL027W	2.417	1	-3.3	-4.9	81	0.3704	31.3	1.726
YAL028W	2.723	NA	-0.9	NA	NA	NA	44.8	1.298
YAL029C	3.168	NA	0	NA	NA	NA	26.4	1.753
YAL030W	2.068	0	-3.1	-11	23	0.3478	24.2	2.087
YAL031C	2.881	NA	-0.2	NA	NA	NA	28.5	1.648
YAL032C	2.579	0	-5.7	-5	21	0.3333	37.4	1.821
YAL033W	2.238	NA	0	NA	NA	NA	27.7	2.251
YAL034C	2.616	NA	-1	NA	NA	NA	NA	1.426
YAL034W-A	2.461	0	-0.4	-9	45	0.3778	30.1	1.532
YAL035W	3.001	0	-0.7	-4	27	0.3704	21.4	2.318
YAL036C	2.567	NA	-2.6	NA	NA	NA	20.5	2.462
YAL037C-A	1.477	NA	-4.8	NA	NA	NA	NA	0.6238
YAL037W	2.427	NA	-2.1	NA	NA	NA	NA	1.583
YAL038W	2.699	0	0	-4	28	0.3929	19	3.525
YAL039C	2.43	0	0	-3.2	57	0.386	32	2.191
YAL040C	2.763	1	0	-8.8	322	0.3975	30.1	1.671
YAL041W	2.931	0	-0.9	-13.7	33	0.3939	21.1	1.847
YAL042W	2.618	0	0	-11.7	17	0.2941	26.9	2.53
YAL043C	2.895	NA	0	NA	NA	NA	3.3	1.974
