"ORF"	"Length"	"uATGs"	"FE_atg"	"FE_cap"	"utr"	"utr_gc"	"polyA"	"RPF"
"YAL001C"	1160	NA	-4.9	NA	NA	NA	21.4	36.779
"YAL002W"	1274	1	-0.7	-7	136	0.352941176470588	30.5	16.796
"YAL003W"	206	0	0	-1.5	22	0.363636363636364	23.7	3481.547
"YAL007C"	215	0	-3.2	-9.4	76	0.381578947368421	22.2	247.949
"YAL008W"	198	0	-1.4	-9.3	49	0.408163265306122	28.7	152.749
"YAL009W"	259	0	-1.7	-18	26	0.384615384615385	34.9	97.941
"YAL010C"	493	0	-0.4	-5.5	42	0.380952380952381	30.4	22.879
"YAL011W"	625	0	-0.3	-9	15	0.333333333333333	33.9	47.687
"YAL012W"	394	0	0	-1.5	65	0.4	28.7	267.361
"YAL013W"	405	0	-2.8	-8	19	0.263157894736842	30.2	115.81
"YAL014C"	255	1	-2.5	-13.3	49	0.408163265306122	38.4	173.416
"YAL015C"	399	NA	0	NA	NA	NA	10.2	74.555
"YAL016W"	635	0	-1.2	-6.9	88	0.375	24.3	124.292
"YAL017W"	1356	NA	-1.6	NA	NA	NA	0.7	22.406
"YAL018C"	325	NA	0	NA	NA	NA	NA	2.52
"YAL019W"	1131	0	0	-13.4	111	0.333333333333333	22	38.731
"YAL020C"	333	NA	-3.6	NA	NA	NA	NA	97.356
"YAL021C"	837	NA	-0.1	NA	NA	NA	31.1	19.526
"YAL022C"	517	0	-2.3	-11.7	17	0.294117647058824	35.8	76.841
"YAL023C"	759	0	-0.9	-5.9	89	0.370786516853933	23.9	96.755
"YAL024C"	1435	NA	-1.3	NA	NA	NA	19.5	10.243
"YAL025C"	306	0	-1.3	-7.2	24	0.333333333333333	32.5	284.736
"YAL026C"	1355	NA	-4.7	NA	NA	NA	NA	41.021
"YAL027W"	261	1	-3.3	-4.9	81	0.37037037037037	31.3	72.715
"YAL028W"	528	NA	-0.9	NA	NA	NA	44.8	23.42
"YAL029C"	1471	NA	0	NA	NA	NA	26.4	29.722
"YAL030W"	117	0	-3.1	-11	23	0.347826086956522	24.2	451.399
"YAL031C"	760	NA	-0.2	NA	NA	NA	28.5	17.835
"YAL032C"	379	0	-5.7	-5	21	0.333333333333333	37.4	60.523
"YAL033W"	173	NA	0	NA	NA	NA	27.7	222.396
"YAL034C"	413	NA	-1	NA	NA	NA	NA	20.581
"YAL034W-A"	289	0	-0.4	-9	45	0.377777777777778	30.1	64.518
"YAL035W"	1002	0	-0.7	-4	27	0.37037037037037	21.4	349.626
"YAL036C"	369	NA	-2.6	NA	NA	NA	20.5	333.392
"YAL037C-A"	30	NA	-4.8	NA	NA	NA	NA	3.354
"YAL037W"	267	NA	-2.1	NA	NA	NA	NA	25.657
"YAL038W"	500	0	0	-4	28	0.392857142857143	19	3719.278
"YAL039C"	269	0	0	-3.2	57	0.385964912280702	32	111.771
"YAL040C"	580	1	0	-8.8	322	0.397515527950311	30.1	15.083
"YAL041W"	854	0	-0.9	-13.7	33	0.393939393939394	21.1	41.796
"YAL042W"	415	0	0	-11.7	17	0.294117647058824	26.9	253.629
"YAL043C"	785	NA	0	NA	NA	NA	3.3	27.724
"YAL044C"	170	0	0	-7.3	10	0.5	25.3	1378.46
"YAL044W-A"	110	0	0	-12.7	2	1	34.2	193.38
"YAL046C"	118	NA	0	NA	NA	NA	NA	276.034
"YAL047C"	622	NA	0	NA	NA	NA	NA	12.131
"YAL048C"	662	0	-4	-13.2	2	1	NA	7.149
"YAL049C"	246	NA	0	NA	NA	NA	27.5	181.444
"YAL051W"	1047	0	-0.3	-8.8	26	0.384615384615385	33	20.969
"YAL053W"	783	NA	0	NA	NA	NA	29.3	54.216
"YAL054C"	713	NA	-0.4	NA	NA	NA	NA	7.937
"YAL055W"	180	0	0	-3.4	1	1	30.4	120.57
"YAL056W"	880	NA	0	NA	NA	NA	22.9	31.681
"YAL058W"	502	NA	0	NA	NA	NA	28.8	52.055
"YAL059W"	212	NA	-1.9	NA	NA	NA	NA	162.22
"YAL060W"	382	NA	-2.1	NA	NA	NA	NA	209.059
"YAL061W"	417	NA	-1	NA	NA	NA	NA	190.382
"YAL067C"	593	NA	0	NA	NA	NA	NA	2.054
"YAR002C-A"	219	NA	-0.3	NA	NA	NA	NA	464.567
"YAR002W"	539	0	-1.1	-3.9	43	0.372093023255814	25.1	69.291
"YAR003W"	426	0	0	-11.5	86	0.383720930232558	35.3	45.081
"YAR007C"	621	NA	0	NA	NA	NA	27	64.676
"YAR008W"	275	NA	-2.2	NA	NA	NA	28.2	75.396
"YAR014C"	709	0	-4.7	-11.8	151	0.357615894039735	33.9	47.02
"YAR015W"	306	0	0	-12.6	104	0.336538461538462	27.4	409.4
"YAR018C"	435	NA	-3.3	NA	NA	NA	NA	62.895
"YAR019C"	974	0	-2	-10.3	34	0.382352941176471	20.6	10.269
"YAR023C"	179	NA	-2.2	NA	NA	NA	57	25.997
"YAR027W"	235	NA	0	NA	NA	NA	NA	160.766
"YAR028W"	234	NA	-4.5	NA	NA	NA	32.4	77.113
"YAR029W"	74	NA	0	NA	NA	NA	NA	66.462
"YAR035W"	687	NA	0	NA	NA	NA	NA	8.452
"YAR042W"	1188	NA	0	NA	NA	NA	NA	31.117
"YBL001C"	104	0	-2.1	-9.2	62	0.403225806451613	20.2	1164.791
"YBL002W"	131	0	0	-2.8	24	0.333333333333333	24.7	1462.172
"YBL004W"	2493	NA	-0.4	NA	NA	NA	22.5	27.254
"YBL005W"	976	NA	-3	NA	NA	NA	41.1	21.049
"YBL006C"	180	NA	-2.2	NA	NA	NA	30.8	384.393
"YBL007C"	1244	0	-1.4	-11.9	50	0.42	28.5	50.034
"YBL008W"	840	NA	-4.6	NA	NA	NA	26.1	29.507
"YBL008W-A"	79	NA	-3.3	NA	NA	NA	NA	4.908
"YBL009W"	676	1	-2.2	-10.5	38	0.394736842105263	32.1	26.325
"YBL010C"	280	0	-1.4	-14.4	3	0.666666666666667	20.7	83.886
"YBL011W"	759	1	-1.9	-9.7	102	0.343137254901961	19.2	54.885
"YBL013W"	401	0	-0.1	-3.5	67	0.388059701492537	4.7	4.497
"YBL014C"	894	NA	-2.4	NA	NA	NA	NA	17.874
"YBL015W"	526	0	0	-4.3	93	0.354838709677419	21.5	58.261
"YBL016W"	353	NA	0	NA	NA	NA	NA	128.501
"YBL017C"	1579	NA	-1.2	NA	NA	NA	NA	47.475
"YBL018C"	133	1	-0.1	-9.6	34	0.382352941176471	27.9	244.186
"YBL019W"	520	0	-2.4	-13.3	33	0.393939393939394	35.3	29.019
"YBL020W"	574	0	-1.5	-9.5	56	0.392857142857143	40.4	32.328
"YBL021C"	144	0	-1.7	-7.1	48	0.395833333333333	32.1	173.889
"YBL022C"	1133	0	-1.3	-11.9	120	0.358333333333333	19.7	59.97
"YBL023C"	868	NA	0	NA	NA	NA	NA	21.231
"YBL024W"	684	NA	-1.6	NA	NA	NA	28.7	119.844
"YBL025W"	145	0	0	-5.1	49	0.408163265306122	NA	121.502
"YBL026W"	95	NA	-1.7	NA	NA	NA	30.5	441.516
"YBL028C"	106	0	-1.4	-6.9	28	0.392857142857143	30	757.912
"YBL029C-A"	94	1	0	-7.6	118	0.355932203389831	24.3	148.502
"YBL029W"	376	NA	0	NA	NA	NA	6.1	50.821
"YBL030C"	318	0	-0.7	-3.9	141	0.354609929078014	23.3	480.539
"YBL031W"	338	0	0	-9.8	31	0.419354838709677	37.4	29.347
"YBL032W"	381	NA	0	NA	NA	NA	21.4	130.277
"YBL033C"	345	0	0	-1.5	29	0.379310344827586	27.6	115.981
"YBL034C"	1513	NA	-6.4	NA	NA	NA	NA	11.306
"YBL035C"	705	NA	-1.6	NA	NA	NA	29.1	31.014
"YBL036C"	257	0	-2.4	-6.2	17	0.294117647058824	32.9	190.736
"YBL037W"	1025	NA	-0.6	NA	NA	NA	21.1	26.445
"YBL038W"	232	0	-1.6	-10.2	75	0.373333333333333	25.9	227.536
"YBL039C"	579	NA	0	NA	NA	NA	27.6	152.4
"YBL039W-B"	59	0	-0.5	-11.4	73	0.383561643835616	44.2	158.24
"YBL040C"	219	0	-2.1	-7.4	29	0.379310344827586	24	327.422
"YBL041W"	241	0	-0.4	-8	32	0.40625	33.5	428.85
"YBL042C"	639	0	-1.6	-6.4	57	0.385964912280702	23.7	65.288
"YBL043W"	257	NA	-3	NA	NA	NA	NA	12.582
