"ORF"	"Length"	"uATGs"	"FE_atg"	"FE_cap"	"utr"	"utr_gc"	"polyA"	"RPF"
"YAL001C"	1160	NA	-4.9	NA	NA	NA	21.4	11.052
"YAL002W"	1274	1	-0.7	-7	136	0.352941176470588	30.5	7.625
"YAL003W"	206	0	0	-1.5	22	0.363636363636364	23.7	6233.184
"YAL007C"	215	0	-3.2	-9.4	76	0.381578947368421	22.2	157.779
"YAL008W"	198	0	-1.4	-9.3	49	0.408163265306122	28.7	60.578
"YAL009W"	259	0	-1.7	-18	26	0.384615384615385	34.9	8.925
"YAL010C"	493	0	-0.4	-5.5	42	0.380952380952381	30.4	14.481
"YAL011W"	625	0	-0.3	-9	15	0.333333333333333	33.9	10.407
"YAL012W"	394	0	0	-1.5	65	0.4	28.7	943.983
"YAL013W"	405	0	-2.8	-8	19	0.263157894736842	30.2	26.672
"YAL014C"	255	1	-2.5	-13.3	49	0.408163265306122	38.4	31.049
"YAL015C"	399	NA	0	NA	NA	NA	10.2	10.146
"YAL016W"	635	0	-1.2	-6.9	88	0.375	24.3	163.416
"YAL017W"	1356	NA	-1.6	NA	NA	NA	0.7	12.802
"YAL019W"	1131	0	0	-13.4	111	0.333333333333333	22	42.567
"YAL020C"	333	NA	-3.6	NA	NA	NA	NA	11.056
"YAL021C"	837	NA	-0.1	NA	NA	NA	31.1	71.637
"YAL022C"	517	0	-2.3	-11.7	17	0.294117647058824	35.8	32.27
"YAL023C"	759	0	-0.9	-5.9	89	0.370786516853933	23.9	202.993
"YAL024C"	1435	NA	-1.3	NA	NA	NA	19.5	6.537
"YAL025C"	306	0	-1.3	-7.2	24	0.333333333333333	32.5	177.546
"YAL026C"	1355	NA	-4.7	NA	NA	NA	NA	25.623
"YAL027W"	261	1	-3.3	-4.9	81	0.37037037037037	31.3	22.784
"YAL028W"	528	NA	-0.9	NA	NA	NA	44.8	2.581
"YAL029C"	1471	NA	0	NA	NA	NA	26.4	19.845
"YAL030W"	117	0	-3.1	-11	23	0.347826086956522	24.2	123.581
"YAL031C"	760	NA	-0.2	NA	NA	NA	28.5	10.861
"YAL032C"	379	0	-5.7	-5	21	0.333333333333333	37.4	31.09
"YAL033W"	173	NA	0	NA	NA	NA	27.7	79.681
"YAL034C"	413	NA	-1	NA	NA	NA	NA	4.908
"YAL034W-A"	289	0	-0.4	-9	45	0.377777777777778	30.1	17.247
"YAL035W"	1002	0	-0.7	-4	27	0.37037037037037	21.4	465.434
"YAL036C"	369	NA	-2.6	NA	NA	NA	20.5	212.335
"YAL037W"	267	NA	-2.1	NA	NA	NA	NA	1.239
"YAL038W"	500	0	0	-4	28	0.392857142857143	19	13647.146
"YAL039C"	269	0	0	-3.2	57	0.385964912280702	32	29.528
"YAL040C"	580	1	0	-8.8	322	0.397515527950311	30.1	11.192
"YAL041W"	854	0	-0.9	-13.7	33	0.393939393939394	21.1	34.716
"YAL042W"	415	0	0	-11.7	17	0.294117647058824	26.9	140.856
"YAL043C"	785	NA	0	NA	NA	NA	3.3	33.319
"YAL044C"	170	0	0	-7.3	10	0.5	25.3	485.77
"YAL044W-A"	110	0	0	-12.7	2	1	34.2	99.889
"YAL046C"	118	NA	0	NA	NA	NA	NA	96.565
"YAL047C"	622	NA	0	NA	NA	NA	NA	15.959
"YAL048C"	662	0	-4	-13.2	2	1	NA	7.25
"YAL049C"	246	NA	0	NA	NA	NA	27.5	99.016
"YAL051W"	1047	0	-0.3	-8.8	26	0.384615384615385	33	11.234
"YAL053W"	783	NA	0	NA	NA	NA	29.3	54.499
"YAL054C"	713	NA	-0.4	NA	NA	NA	NA	3.372
"YAL055W"	180	0	0	-3.4	1	1	30.4	17.871
"YAL056W"	880	NA	0	NA	NA	NA	22.9	5.879
"YAL058W"	502	NA	0	NA	NA	NA	28.8	14.908
"YAL059W"	212	NA	-1.9	NA	NA	NA	NA	109.127
"YAL060W"	382	NA	-2.1	NA	NA	NA	NA	60.83
"YAL061W"	417	NA	-1	NA	NA	NA	NA	17.019
"YAL067C"	593	NA	0	NA	NA	NA	NA	1.153
"YAR002C-A"	219	NA	-0.3	NA	NA	NA	NA	231.159
"YAR002W"	539	0	-1.1	-3.9	43	0.372093023255814	25.1	89.816
"YAR003W"	426	0	0	-11.5	86	0.383720930232558	35.3	22.231
"YAR007C"	621	NA	0	NA	NA	NA	27	100.313
"YAR008W"	275	NA	-2.2	NA	NA	NA	28.2	18.075
"YAR014C"	709	0	-4.7	-11.8	151	0.357615894039735	33.9	44.074
"YAR015W"	306	0	0	-12.6	104	0.336538461538462	27.4	375.788
"YAR018C"	435	NA	-3.3	NA	NA	NA	NA	23.344
"YAR019C"	974	0	-2	-10.3	34	0.382352941176471	20.6	8.16
"YAR023C"	179	NA	-2.2	NA	NA	NA	57	3.592
"YAR027W"	235	NA	0	NA	NA	NA	NA	58.655
"YAR028W"	234	NA	-4.5	NA	NA	NA	32.4	30.846
"YAR029W"	74	NA	0	NA	NA	NA	NA	3.876
"YAR035W"	687	NA	0	NA	NA	NA	NA	0.499
"YAR042W"	1188	NA	0	NA	NA	NA	NA	16.046
"YBL001C"	104	0	-2.1	-9.2	62	0.403225806451613	20.2	241.751
"YBL002W"	131	0	0	-2.8	24	0.333333333333333	24.7	1739.855
"YBL004W"	2493	NA	-0.4	NA	NA	NA	22.5	42.433
"YBL005W"	976	NA	-3	NA	NA	NA	41.1	20.181
"YBL006C"	180	NA	-2.2	NA	NA	NA	30.8	73.271
"YBL007C"	1244	0	-1.4	-11.9	50	0.42	28.5	183.165
"YBL008W"	840	NA	-4.6	NA	NA	NA	26.1	15.59
"YBL008W-A"	79	NA	-3.3	NA	NA	NA	NA	7.348
"YBL009W"	676	1	-2.2	-10.5	38	0.394736842105263	32.1	33.996
"YBL010C"	280	0	-1.4	-14.4	3	0.666666666666667	20.7	20.14
"YBL011W"	759	1	-1.9	-9.7	102	0.343137254901961	19.2	21.749
"YBL013W"	401	0	-0.1	-3.5	67	0.388059701492537	4.7	11.781
"YBL014C"	894	NA	-2.4	NA	NA	NA	NA	3.088
"YBL015W"	526	0	0	-4.3	93	0.354838709677419	21.5	35.621
"YBL016W"	353	NA	0	NA	NA	NA	NA	48.488
"YBL017C"	1579	NA	-1.2	NA	NA	NA	NA	63.435
"YBL018C"	133	1	-0.1	-9.6	34	0.382352941176471	27.9	89.235
"YBL019W"	520	0	-2.4	-13.3	33	0.393939393939394	35.3	6.549
"YBL020W"	574	0	-1.5	-9.5	56	0.392857142857143	40.4	20.826
"YBL021C"	144	0	-1.7	-7.1	48	0.395833333333333	32.1	45.938
"YBL022C"	1133	0	-1.3	-11.9	120	0.358333333333333	19.7	95.075
"YBL023C"	868	NA	0	NA	NA	NA	NA	34.166
"YBL024W"	684	NA	-1.6	NA	NA	NA	28.7	192.618
"YBL025W"	145	0	0	-5.1	49	0.408163265306122	NA	34.784
"YBL026W"	95	NA	-1.7	NA	NA	NA	30.5	236.056
"YBL028C"	106	0	-1.4	-6.9	28	0.392857142857143	30	458.428
"YBL029C-A"	94	1	0	-7.6	118	0.355932203389831	24.3	76.221
"YBL029W"	376	NA	0	NA	NA	NA	6.1	8.056
"YBL030C"	318	0	-0.7	-3.9	141	0.354609929078014	23.3	547.146
"YBL031W"	338	0	0	-9.8	31	0.419354838709677	37.4	29.729
