Position	Counts	End
-20	889	5
-19	861	5
-18	926	5
-17	1120	5
-16	1182	5
-15	1233	5
-14	1134	5
-13	1257	5
-12	1220	5
-11	2030	5
-10	25339	5
-9	169507	5
-8	317463	5
-7	192643	5
-6	51490	5
-5	58583	5
-4	39947	5
-3	27430	5
-2	52316	5
-1	33121	5
0	41165	5
1	51526	5
2	27379	5
3	49632	5
4	21988	5
5	69290	5
6	10627	5
7	19894	5
8	24183	5
9	22889	5
10	30960	5
11	17272	5
12	16633	5
13	27531	5
14	19824	5
15	13143	5
16	27566	5
17	17455	5
18	13459	5
19	23052	5
20	14394	5
21	16212	5
22	24078	5
23	15870	5
24	14379	5
25	23564	5
-20	8731	3
-19	9172	3
-18	13631	3
-17	7548	3
-16	7697	3
-15	10744	3
-14	5235	3
-13	879	3
-12	301	3
-11	305	3
-10	290	3
-9	184	3
-8	208	3
-7	162	3
-6	149	3
-5	137	3
-4	183	3
-3	120	3
-2	126	3
-1	179	3
0	171	3
1	163	3
2	97	3
3	120	3
4	116	3
5	109	3
6	84	3
7	115	3
8	83	3
9	97	3
10	88	3
11	79	3
12	89	3
13	89	3
14	85	3
15	132	3
16	154	3
17	95	3
18	64	3
19	87	3
20	78	3
21	93	3
22	88	3
23	67	3
24	86	3
25	73	3
