Position	Mean	SD	End	BG	DataType
1	1.01394169835234	0.0806988955277929	5	Data	RPF
2	1.3959804454101	0.0896885750497918	5	Data	RPF
3	1.02933188484519	0.075493391272859	5	Data	RPF
4	0.845283360492486	0.0594061198623936	5	Data	RPF
5	0.943327901502806	0.0779739272134709	5	Data	RPF
6	0.874524714828897	0.0731214919427847	5	Data	RPF
7	0.673546985334058	0.0593789607097592	5	Data	RPF
8	0.756563461886656	0.0598949846098135	5	Data	RPF
9	0.709759188846641	0.0573239181604201	5	Data	RPF
10	0.495111352525801	0.0404671374253123	5	Data	RPF
11	0.690566720984972	0.0556128915444505	5	Data	RPF
12	0.745337678797755	0.0667662502263263	5	Data	RPF
13	0.640684410646388	0.0620677168205685	5	Data	RPF
14	0.628010139416983	0.0579123664674995	5	Data	RPF
15	0.637968495382944	0.0521998913633895	5	Data	RPF
16	0.563371356147021	0.0492938620315046	5	Data	RPF
17	0.442513126923773	0.0431287343834872	5	Data	RPF
18	0.632174542820931	0.0605105920695274	5	Data	RPF
19	0.474470396523628	0.0434636972659786	5	Data	RPF
20	0.634980988593156	0.0556581567988412	5	Data	RPF
21	0.671736375158428	0.0591073691834148	5	Data	RPF
22	0.576226688393989	0.054155350353069	5	Data	RPF
23	0.741263805902589	0.0607097591888466	5	Data	RPF
24	0.571428571428571	0.0465417345645482	5	Data	RPF
25	0.706952743074416	0.0615607459713924	5	Data	RPF
26	0.675086003983342	0.0498098859315589	5	Data	RPF
27	0.767517653449212	0.0690566720984972	5	Data	RPF
28	0.658247329349991	0.0600126742712294	5	Data	RPF
29	0.663407568350534	0.05434546442151	5	Data	RPF
30	0.6674814412457	0.0588629368097049	5	Data	RPF
31	0.760094151729133	0.0733930834691291	5	Data	RPF
32	0.630001810610176	0.0540014484881405	5	Data	RPF
33	0.673546985334058	0.0586456635886294	5	Data	RPF
34	0.616331703784175	0.054526525439073	5	Data	RPF
35	0.68857504979178	0.054653268151367	5	Data	RPF
36	0.580934274850625	0.0506608727141047	5	Data	RPF
37	0.846912909650552	0.0709306536302734	5	Data	RPF
38	0.62466051059207	0.0514665942422596	5	Data	RPF
39	0.77729494839761	0.0713833061741807	5	Data	RPF
40	0.727774760094152	0.0630363932645301	5	Data	RPF
41	0.619771863117871	0.0487416259279377	5	Data	RPF
42	0.704417888828535	0.0658337859858772	5	Data	RPF
43	0.669925764982799	0.0493391272858953	5	Data	RPF
44	0.621039290240811	0.052607278652906	5	Data	RPF
