Position	Mean	SD	End	BG	DataType
1	0.70216882528872	0.00641696798097097	5	Data	mRNA
2	0.704383565138095	0.00626289912188403	5	Data	mRNA
3	0.706983477135186	0.00624364051449816	5	Data	mRNA
4	0.711798128981653	0.00624460344486745	5	Data	mRNA
5	0.714783213126463	0.00607994235171829	5	Data	mRNA
6	0.719020106751354	0.00606935011765606	5	Data	mRNA
7	0.724701395930184	0.00592394763189277	5	Data	mRNA
8	0.728745703481217	0.0058324692468099	5	Data	mRNA
9	0.733752941401542	0.00583054338607131	5	Data	mRNA
10	0.738760179321868	0.00573328741877268	5	Data	mRNA
11	0.74126379828203	0.00564469782479769	5	Data	mRNA
12	0.74559698494385	0.00563121679962758	5	Data	mRNA
13	0.749737585531812	0.00560136595817949	5	Data	mRNA
14	0.754263358267491	0.00560425474928737	5	Data	mRNA
15	0.757729907596947	0.00553299790195966	5	Data	mRNA
16	0.76312231766499	0.00550988757309662	5	Data	mRNA
17	0.76601110877287	0.0054540376116776	5	Data	mRNA
18	0.76880360684382	0.00543863072576891	5	Data	mRNA
19	0.769862830250043	0.00529033944889773	5	Data	mRNA
20	0.772655328320994	0.00524797051264882	5	Data	mRNA
21	0.774484896022651	0.00517575073495182	5	Data	mRNA
22	0.777277394093602	0.00515649212756596	5	Data	mRNA
23	0.779781013053765	0.00514878868461161	5	Data	mRNA
24	0.782380925050857	0.00512278956464069	5	Data	mRNA
25	0.783921613641726	0.00512278956464069	5	Data	mRNA
26	0.78488454401102	0.00512856714685645	5	Data	mRNA
27	0.78632893956496	0.00511219733057846	5	Data	mRNA
28	0.788254800303546	0.00509775337503906	5	Data	mRNA
29	0.790854712300638	0.00510930853947058	5	Data	mRNA
30	0.792202814817649	0.00509582751430047	5	Data	mRNA
31	0.794417554667024	0.00510545681799341	5	Data	mRNA
32	0.796536001479469	0.0051064197483627	5	Data	mRNA
33	0.797306345774904	0.0051064197483627	5	Data	mRNA
34	0.798365569181127	0.00515552919719666	5	Data	mRNA
35	0.798269276144197	0.00513145593796433	5	Data	mRNA
36	0.798943327402703	0.00514686282387302	5	Data	mRNA
37	0.800580309030501	0.00510930853947058	5	Data	mRNA
38	0.80510608176618	0.00537411439102625	5	Data	mRNA
39	0.80655047732012	0.00543863072576891	5	Data	mRNA
40	0.808861510206424	0.00553299790195966	5	Data	mRNA
41	0.811461422203516	0.00553781255380613	5	Data	mRNA
42	0.811846594351234	0.0055272203197439	5	Data	mRNA
43	0.81232805953588	0.00548485138349499	5	Data	mRNA
44	0.812231766498951	0.00548099966201782	5	Data	mRNA
45	0.811846594351234	0.0054694444975863	5	Data	mRNA
46	0.81088366398194	0.00544537123835396	5	Data	mRNA
47	0.811942887388163	0.00546077812426266	5	Data	mRNA
48	0.809728147538788	0.00544248244724608	5	Data	mRNA
49	0.805683839987756	0.00539337299841212	5	Data	mRNA
50	0.813098403831315	0.00544729709909255	5	Data	mRNA
51	0.803950565323028	0.00542226090949092	5	Data	mRNA
52	0.807513407689414	0.00543092728281456	5	Data	mRNA
53	0.810691077908082	0.0054251497005988	5	Data	mRNA
54	0.811654008277375	0.00542226090949092	5	Data	mRNA
55	0.813002110794386	0.00543092728281456	5	Data	mRNA
56	0.812905817757456	0.00541937211838304	5	Data	mRNA
57	0.812135473462022	0.00542226090949092	5	Data	mRNA
58	0.813002110794386	0.00542226090949092	5	Data	mRNA
59	0.81386874812675	0.00542322383986022	5	Data	mRNA
60	0.812809524720527	0.00542033504875234	5	Data	mRNA
61	0.815120557606831	0.0054261126309681	5	Data	mRNA
62	0.815794608865337	0.00542900142207598	5	Data	mRNA
63	0.815409436717619	0.00542803849170668	5	Data	mRNA
64	0.815987194939195	0.00546174105463195	5	Data	mRNA
65	0.817046418345418	0.00546751863684771	5	Data	mRNA
66	0.814446506348326	0.00536544801770261	5	Data	mRNA
67	0.815505729754548	0.00533463424588523	5	Data	mRNA
68	0.815794608865337	0.00530285754369855	5	Data	mRNA
69	0.815987194939195	0.00528937651852844	5	Data	mRNA
70	0.81531314368069	0.00527108084151186	5	Data	mRNA
71	0.818009348714711	0.00532019029034583	5	Data	mRNA
72	0.817527883530065	0.00530767219554501	5	Data	mRNA
73	0.817913055677782	0.005324042011823	5	Data	mRNA
74	0.818298227825499	0.00532693080293088	5	Data	mRNA
75	0.817527883530065	0.00533367131551593	5	Data	mRNA
76	0.819068572120934	0.00534330061920887	5	Data	mRNA
77	0.820994432859521	0.00538663248582707	5	Data	mRNA
78	0.820416674637945	0.0054107057450594	5	Data	mRNA
79	0.819935209453298	0.00541552039690587	5	Data	mRNA
80	0.820801846785662	0.00543092728281456	5	Data	mRNA
81	0.820609260711803	0.00544151951687679	5	Data	mRNA
82	0.820224088564086	0.00545981519389336	5	Data	mRNA
83	0.822053656265743	0.00545692640278548	5	Data	mRNA
84	0.821957363228814	0.00542707556133739	5	Data	mRNA
85	0.827253480259928	0.00748100603904013	5	Data	mRNA
86	0.827060894186069	0.00746559915313144	5	Data	mRNA
87	0.827253480259928	0.00746174743165426	5	Data	mRNA
88	0.820705553748733	0.00511990077353281	5	Data	mRNA
89	0.819357451231722	0.00501012671143336	5	Data	mRNA
90	0.818394520862429	0.00526434032892681	5	Data	mRNA
91	0.817720469603923	0.005251822234126	5	Data	mRNA
92	0.818490813899358	0.00526434032892681	5	Data	mRNA
93	0.818779693010146	0.00525567395560317	5	Data	mRNA
94	0.818298227825499	0.00525374809486458	5	Data	mRNA
95	0.819453744268651	0.00530670926517572	5	Data	mRNA
96	0.818683399973217	0.00524893344301812	5	Data	mRNA
97	0.818683399973217	0.00524989637338741	5	Data	mRNA
98	0.818779693010146	0.00526241446818823	5	Data	mRNA
99	0.818298227825499	0.00527300670225045	5	Data	mRNA
100	0.817720469603923	0.00522774897489366	5	Data	mRNA
101	0.818779693010146	0.00521908260157002	5	Data	mRNA
102	0.819453744268651	0.0052508593037567	5	Data	mRNA
103	0.819935209453298	0.00523160069637084	5	Data	mRNA
104	0.820705553748733	0.00523160069637084	5	Data	mRNA
105	0.820127795527157	0.00522774897489366	5	Data	mRNA
106	0.821187018933379	0.00521811967120073	5	Data	mRNA
107	0.821572191081097	0.00522004553193932	5	Data	mRNA
108	0.821668484118026	0.0052229343230472	5	Data	mRNA
109	0.825135033447482	0.00549544361755722	5	Data	mRNA
110	0.826194256853705	0.00550603585161945	5	Data	mRNA
111	0.824557275225906	0.0054550005420469	5	Data	mRNA
112	0.824075810041259	0.00539722471988929	5	Data	mRNA
113	0.826483135964493	0.00538566955545778	5	Data	mRNA
114	0.827157187222998	0.00538374369471919	5	Data	mRNA
115	0.827638652407645	0.00541263160579799	5	Data	mRNA
116	0.828890461887726	0.00541263160579799	5	Data	mRNA
117	0.828794168850797	0.00541744625764446	5	Data	mRNA
118	0.82985339225702	0.00540492816284364	5	Data	mRNA
119	0.832260718180253	0.00549255482644934	5	Data	mRNA
120	0.832549597291041	0.00547425914943276	5	Data	mRNA
121	0.831490373884818	0.00546174105463195	5	Data	mRNA
122	0.832260718180253	0.00547618501017135	5	Data	mRNA
123	0.831682959958677	0.00547137035832489	5	Data	mRNA
124	0.832549597291041	0.00546462984573983	5	Data	mRNA
125	0.834860630177345	0.0054829255227564	5	Data	mRNA
126	0.83409028588191	0.00547811087090994	5	Data	mRNA
127	0.832838476401829	0.00545788933315478	5	Data	mRNA
128	0.83409028588191	0.00546270398500124	5	Data	mRNA
129	0.833416234623405	0.00545692640278548	5	Data	mRNA
130	0.833031062475688	0.00546077812426266	5	Data	mRNA
131	0.834571751066557	0.00548581431386428	5	Data	mRNA
132	0.834571751066557	0.00549351775681863	5	Data	mRNA
133	0.83409028588191	0.00547618501017135	5	Data	mRNA
134	0.834475458029628	0.00548870310497216	5	Data	mRNA
135	0.83553468143585	0.00554070134491401	5	Data	mRNA
136	0.840253040245388	0.00568417796993872	5	Data	mRNA
137	0.840734505430035	0.00569477020400094	5	Data	mRNA
138	0.839097523802236	0.00568225210920013	5	Data	mRNA
139	0.839867868097671	0.0056726228055072	5	Data	mRNA
140	0.8399641611346	0.00539433592878142	5	Data	mRNA
141	0.840927091503893	0.00539144713767354	5	Data	mRNA
142	0.840253040245388	0.00536352215696403	5	Data	mRNA
143	0.840734505430035	0.00537218853028767	5	Data	mRNA
144	0.841215970614681	0.00535870750511756	5	Data	mRNA
145	0.840830798466964	0.00537604025176484	5	Data	mRNA
146	0.842949245279409	0.00537796611250343	5	Data	mRNA
147	0.844682519944137	0.00544922295983114	5	Data	mRNA
148	0.844682519944137	0.00546559277610912	5	Data	mRNA
149	0.845549157276501	0.00546462984573983	5	Data	mRNA
150	0.844393640833349	0.0054540376116776	5	Data	mRNA
151	0.846030622461148	0.00559269958485585	5	Data	mRNA
152	0.846993552830442	0.00557536683820857	5	Data	mRNA
153	0.847763897125876	0.00593935451780146	5	Data	mRNA
154	0.847763897125876	0.0059326140052164	5	Data	mRNA
155	0.850748981270686	0.00626097326114544	5	Data	mRNA
156	0.850652688233756	0.00632163787441092	5	Data	mRNA
157	0.85151932556612	0.0063543775069669	5	Data	mRNA
158	0.85161561860305	0.00636304388029054	5	Data	mRNA
159	0.848823120532099	0.00614734747756882	5	Data	mRNA
160	0.848245362310523	0.00614349575609165	5	Data	mRNA
161	0.849882343938322	0.00631682322256446	5	Data	mRNA
162	0.849497171790604	0.00630526805813294	5	Data	mRNA
163	0.848052776236664	0.0062966016848093	5	Data	mRNA
164	0.849400878753675	0.00628600945074707	5	Data	mRNA
165	0.848823120532099	0.00619838278714137	5	Data	mRNA
166	0.849497171790604	0.00624460344486745	5	Data	mRNA
167	0.850941567344544	0.00624364051449816	5	Data	mRNA
168	0.85151932556612	0.00623882586265169	5	Data	mRNA
169	0.850460102159898	0.00592491056226206	5	Data	mRNA
170	0.85161561860305	0.00592683642300064	5	Data	mRNA
171	0.850941567344544	0.00591142953709195	5	Data	mRNA
172	0.850652688233756	0.0059326140052164	5	Data	mRNA
173	0.851808204676908	0.00594416916964793	5	Data	mRNA
174	0.850748981270686	0.00594128037854004	5	Data	mRNA
175	0.850556395196827	0.00592683642300064	5	Data	mRNA
176	0.851808204676908	0.0058902450689675	5	Data	mRNA
177	0.85161561860305	0.00587291232232022	5	Data	mRNA
178	0.851423032529191	0.00587387525268951	5	Data	mRNA
179	0.85296372112006	0.0058758011134281	5	Data	mRNA
180	0.852867428083131	0.00588446748675174	5	Data	mRNA
