"Year"	"Author"	"Dataset"	"position"	"count"	"end"
2015	"Nedialkova"	"WT_ribo_rapamycin_rep3"	-20	1643	5
2015	"Nedialkova"	"WT_ribo_rapamycin_rep3"	-19	1467	5
2015	"Nedialkova"	"WT_ribo_rapamycin_rep3"	-18	1448	5
2015	"Nedialkova"	"WT_ribo_rapamycin_rep3"	-17	1306	5
2015	"Nedialkova"	"WT_ribo_rapamycin_rep3"	-16	1424	5
2015	"Nedialkova"	"WT_ribo_rapamycin_rep3"	-15	1202	5
2015	"Nedialkova"	"WT_ribo_rapamycin_rep3"	-14	1027	5
2015	"Nedialkova"	"WT_ribo_rapamycin_rep3"	-13	1078	5
2015	"Nedialkova"	"WT_ribo_rapamycin_rep3"	-12	998	5
2015	"Nedialkova"	"WT_ribo_rapamycin_rep3"	-11	1860	5
2015	"Nedialkova"	"WT_ribo_rapamycin_rep3"	-10	22182	5
2015	"Nedialkova"	"WT_ribo_rapamycin_rep3"	-9	120795	5
2015	"Nedialkova"	"WT_ribo_rapamycin_rep3"	-8	202302	5
2015	"Nedialkova"	"WT_ribo_rapamycin_rep3"	-7	112610	5
2015	"Nedialkova"	"WT_ribo_rapamycin_rep3"	-6	44744	5
2015	"Nedialkova"	"WT_ribo_rapamycin_rep3"	-5	46021	5
2015	"Nedialkova"	"WT_ribo_rapamycin_rep3"	-4	32056	5
2015	"Nedialkova"	"WT_ribo_rapamycin_rep3"	-3	28332	5
2015	"Nedialkova"	"WT_ribo_rapamycin_rep3"	-2	48270	5
2015	"Nedialkova"	"WT_ribo_rapamycin_rep3"	-1	28663	5
2015	"Nedialkova"	"WT_ribo_rapamycin_rep3"	0	42384	5
2015	"Nedialkova"	"WT_ribo_rapamycin_rep3"	1	55643	5
2015	"Nedialkova"	"WT_ribo_rapamycin_rep3"	2	27624	5
2015	"Nedialkova"	"WT_ribo_rapamycin_rep3"	3	58946	5
2015	"Nedialkova"	"WT_ribo_rapamycin_rep3"	4	27520	5
2015	"Nedialkova"	"WT_ribo_rapamycin_rep3"	5	71977	5
2015	"Nedialkova"	"WT_ribo_rapamycin_rep3"	6	19317	5
2015	"Nedialkova"	"WT_ribo_rapamycin_rep3"	7	25129	5
2015	"Nedialkova"	"WT_ribo_rapamycin_rep3"	8	24046	5
2015	"Nedialkova"	"WT_ribo_rapamycin_rep3"	9	28901	5
2015	"Nedialkova"	"WT_ribo_rapamycin_rep3"	10	37920	5
2015	"Nedialkova"	"WT_ribo_rapamycin_rep3"	11	20071	5
2015	"Nedialkova"	"WT_ribo_rapamycin_rep3"	12	21347	5
2015	"Nedialkova"	"WT_ribo_rapamycin_rep3"	13	35785	5
2015	"Nedialkova"	"WT_ribo_rapamycin_rep3"	14	22139	5
2015	"Nedialkova"	"WT_ribo_rapamycin_rep3"	15	17412	5
