Position	Counts	End
-20	289	5
-19	360	5
-18	412	5
-17	396	5
-16	477	5
-15	570	5
-14	630	5
-13	945	5
-12	1246	5
-11	1717	5
-10	3693	5
-9	8160	5
-8	10017	5
-7	7773	5
-6	4103	5
-5	4901	5
-4	6774	5
-3	5260	5
-2	4412	5
-1	3860	5
0	3448	5
1	2496	5
2	2101	5
3	3181	5
4	1186	5
5	3629	5
6	714	5
7	698	5
8	1009	5
9	1123	5
10	980	5
11	741	5
12	900	5
13	1225	5
14	920	5
15	891	5
16	958	5
17	810	5
18	981	5
19	968	5
20	806	5
21	1031	5
22	942	5
23	804	5
24	973	5
25	942	5
-20	626	3
-19	785	3
-18	653	3
-17	416	3
-16	453	3
-15	273	3
-14	209	3
-13	243	3
-12	188	3
-11	209	3
-10	143	3
-9	150	3
-8	144	3
-7	145	3
-6	140	3
-5	161	3
-4	109	3
-3	43	3
-2	75	3
-1	75	3
0	164	3
1	213	3
2	177	3
3	209	3
4	207	3
5	143	3
6	155	3
7	146	3
8	131	3
9	172	3
10	130	3
11	158	3
12	147	3
13	129	3
14	195	3
15	314	3
16	306	3
17	135	3
18	143	3
19	151	3
20	126	3
21	158	3
22	130	3
23	116	3
24	193	3
25	150	3
