Position	Counts	End
-20	83	5
-19	175	5
-18	148	5
-17	138	5
-16	138	5
-15	10422	5
-14	795	5
-13	121	5
-12	107	5
-11	110	5
-10	148	5
-9	385	5
-8	3032	5
-7	17900	5
-6	4344	5
-5	2081	5
-4	6957	5
-3	2354	5
-2	1471	5
-1	6545	5
0	2284	5
1	3260	5
2	8590	5
3	1497	5
4	2534	5
5	9649	5
6	2402	5
7	824	5
8	5584	5
9	1722	5
10	1593	5
11	4690	5
12	1247	5
13	880	5
14	3901	5
15	996	5
16	1033	5
17	3456	5
18	1100	5
19	1042	5
20	3249	5
21	934	5
22	803	5
23	2711	5
24	800	5
25	770	5
-20	1213	3
-19	334	3
-18	422	3
-17	1262	3
-16	328	3
-15	630	3
-14	1575	3
-13	498	3
-12	144	3
-11	86	3
-10	70	3
-9	86	3
-8	29	3
-7	34	3
-6	23	3
-5	10	3
-4	13	3
-3	20	3
-2	18	3
-1	17	3
0	13	3
1	25	3
2	59	3
3	107	3
4	246	3
5	54	3
6	169	3
7	97	3
8	12	3
9	18	3
10	20	3
11	241	3
12	52	3
13	26	3
14	14	3
15	46	3
16	25	3
17	16	3
18	33	3
19	112	3
20	47	3
21	58	3
22	13	3
23	20	3
24	25	3
25	15	3
