"Year"	"Author"	"Dataset"	"Position"	"X5prime"	"Reads"	"SD"	"Type"	"DataType"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	499	0	1.1356	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	498	0	0.9853	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	497	0	0.9313	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	496	0	1.0843	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	495	0	0.8749	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	494	0	1.0258	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	493	0	0.9493	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	492	0	0.9007	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	491	0	0.9709	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	490	0	1.1554	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	489	0	1.0312	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	488	0	1.06	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	487	0	0.9025	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	486	0	1.1014	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	485	0	1.0924	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	484	0	1.0267	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	483	0	0.961	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	482	0	0.9628	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	481	0	1.1644	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	480	0	0.8633	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	479	0	1.0465	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	478	0	0.9772	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	477	0	0.8953	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	476	0	1.0672	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	475	0	1.0258	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	474	0	1.0267	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	473	0	0.9763	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	472	0	1.1482	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	471	0	0.9241	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	470	0	0.9754	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	469	0	0.9034	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	468	0	0.9574	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	467	0	0.9574	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	466	0	0.9358	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	465	0	1.1248	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	464	0	1.0033	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	463	0	0.9835	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	462	0	0.9475	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	461	0	0.8757	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	460	0	1.0186	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	459	0	0.97	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	458	0	0.9349	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	457	0	1.0672	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	456	0	1.0816	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	455	0	1.0483	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	454	0	0.9754	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	453	0	0.9313	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	452	0	1.0717	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	451	0	1.042	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	450	0	0.9673	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	449	0	0.9601	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	448	0	0.9961	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	447	0	0.9754	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	446	0	1.0564	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	445	0	0.8536	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	444	0	0.9916	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	443	0	1.024	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	442	0	0.979	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	441	0	0.9538	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	440	0	0.9943	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	439	0	0.9259	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	438	0	0.8485	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	437	0	0.934	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	436	0	1.0366	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	435	0	1.0132	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	434	0	1.0222	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	433	0	1.0348	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	432	0	1.051	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	431	0	0.9898	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	430	0	0.9448	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	429	0	0.8908	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	428	0	1.1248	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	427	0	0.9718	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	426	0	0.9691	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	425	0	0.9151	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	424	0	0.9133	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	423	0	0.9772	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	422	0	1.0996	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	421	0	1.0582	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	420	0	0.9232	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	419	0	0.997	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	418	0	0.8859	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	417	0	1.0114	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	416	0	0.8835	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	415	0	0.9367	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	414	0	0.9295	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	413	0	1.0582	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	412	0	0.9034	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	411	0	0.9142	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	410	0	0.9511	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	409	0	1.0609	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	408	0	0.979	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	407	0	0.9646	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	406	0	0.897	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	405	0	0.9187	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	404	0	0.9493	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	403	0	1.0186	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	402	0	0.9097	0	100	"RPF"
"2015"	"Nedialkova"	"ncs2Δ_ribo_YPD_rep3"	401	0	0.8878	0	100	"RPF"
