ORF	Length	uATGs	FE_atg	FE_cap	utr	utr_gc	polyA	Data	Corr
YAL001C	3.06445798922692	NA	-4.9	NA	NA	NA	21.4	1.25341572912392	1
YAL002W	3.10516942799933	1	-0.7	-7	136	0.352941176470588	30.5	0.794643103366591	1
YAL003W	2.31386722036915	0	0	-1.5	22	0.363636363636364	23.7	3.60102914360845	1
YAL007C	2.33243845991561	0	-3.2	-9.4	76	0.381578947368421	22.2	2.40651153136466	1
YAL008W	2.29666519026153	0	-1.4	-9.3	49	0.408163265306122	28.7	2.08306314508115	1
YAL009W	2.41329976408125	0	-1.7	-18	26	0.384615384615385	34.9	1.32165080014809	1
YAL010C	2.69284691927723	0	-0.4	-5.5	42	0.380952380952381	30.4	1.2102168862207	1
YAL011W	2.79588001734408	0	-0.3	-9	15	0.333333333333333	33.9	0.823446661216795	1
YAL012W	2.59549622182557	0	0	-1.5	65	0.4	28.7	3.06454155461709	1
YAL013W	2.60745502321467	0	-2.8	-8	19	0.263157894736842	30.2	1.61607118278301	1
YAL014C	2.40654018043396	1	-2.5	-13.3	49	0.408163265306122	38.4	1.75373133946148	1
YAL015C	2.60097289568675	NA	0	NA	NA	NA	10.2	1.17425897346416	1
YAL016W	2.80277372529198	0	-1.2	-6.9	88	0.375	24.3	2.31463549397238	1
YAL017W	3.13225968953104	NA	-1.6	NA	NA	NA	0.7	1.45335392921463	1
YAL018C	2.51188336097887	NA	0	NA	NA	NA	NA	-1.13329539170873	0
YAL019W	3.05346260492546	0	0	-13.4	111	0.333333333333333	22	1.27397873882707	1
YAL020C	2.52244423350632	NA	-3.6	NA	NA	NA	NA	1.22586884289963	1
YAL021C	2.92272545799326	NA	-0.1	NA	NA	NA	31.1	1.84321715314369	1
YAL022C	2.71349054309394	0	-2.3	-11.7	17	0.294117647058824	35.8	1.75761341969807	1
YAL023C	2.88024177589548	0	-0.9	-5.9	89	0.370786516853933	23.9	2.27875198458111	1
YAL024C	3.15685190107001	NA	-1.3	NA	NA	NA	19.5	0.817079524307431	1
YAL025C	2.48572142648158	0	-1.3	-7.2	24	0.333333333333333	32.5	1.45621918062674	1
YAL026C	3.13193929521042	NA	-4.7	NA	NA	NA	NA	1.52574697843645	1
YAL027W	2.41664050733828	1	-3.3	-4.9	81	0.37037037037037	31.3	1.31471831927671	1
YAL028W	2.72263392253381	NA	-0.9	NA	NA	NA	44.8	0.837362689898918	1
YAL029C	3.16761267272753	NA	0	NA	NA	NA	26.4	1.18107792350982	1
YAL030W	2.06818586174616	0	-3.1	-11	23	0.347826086956522	24.2	2.34506056390629	1
YAL031C	2.88081359228079	NA	-0.2	NA	NA	NA	28.5	1.20203765542438	1
YAL032C	2.57863920996807	0	-5.7	-5	21	0.333333333333333	37.4	1.2454575237929	1
YAL033W	2.2380461031288	NA	0	NA	NA	NA	27.7	1.78412889282523	1
YAL034C	2.6159500516564	NA	-1	NA	NA	NA	NA	1.17029607750546	1
YAL034W-A	2.46089784275655	0	-0.4	-9	45	0.377777777777778	30.1	1.15310524114182	1
YAL035W	3.00086772153123	0	-0.7	-4	27	0.37037037037037	21.4	2.52164271950237	1
YAL036C	2.56702636615906	NA	-2.6	NA	NA	NA	20.5	2.18460820432988	1
YAL037C-A	1.47712125471966	NA	-4.8	NA	NA	NA	NA	-Inf	0
YAL037W	2.42651126136458	NA	-2.1	NA	NA	NA	NA	0.177947834976727	0
YAL038W	2.69897000433602	0	0	-4	28	0.392857142857143	19	4.12774614736876	1
YAL039C	2.42975228000241	0	0	-3.2	57	0.385964912280702	32	1.76661573112786	1
YAL040C	2.76342799356294	1	0	-8.8	322	0.397515527950311	30.1	1.23203046591782	1
YAL041W	2.931457870689	0	-0.9	-13.7	33	0.393939393939394	21.1	1.55562465251176	1
YAL042W	2.61804809671209	0	0	-11.7	17	0.294117647058824	26.9	2.31021828995977	1
YAL043C	2.89486965674525	NA	0	NA	NA	NA	3.3	1.51083393173111	1
YAL044C	2.23044892137827	0	0	-7.3	10	0.5	25.3	2.82873129194904	1
YAL044W-A	2.04139268515822	0	0	-12.7	2	1	34.2	2.0364254355506	1
YAL046C	2.07188200730613	NA	0	NA	NA	NA	NA	2.00182938423883	1
YAL047C	2.79379038469082	NA	0	NA	NA	NA	NA	1.00157314937447	1
YAL048C	2.8208579894397	0	-4	-13.2	2	1	NA	1.07380067833823	1
YAL049C	2.39093510710338	NA	0	NA	NA	NA	27.5	2.15087043019038	1
YAL051W	3.01994668167884	0	-0.3	-8.8	26	0.384615384615385	33	1.23023055987241	1
YAL053W	2.89376176205794	NA	0	NA	NA	NA	29.3	1.7969055244157	1
YAL054C	2.85308952985187	NA	-0.4	NA	NA	NA	NA	0.376031802852365	1
YAL055W	2.25527250510331	0	0	-3.4	1	1	30.4	1.42463979700366	1
YAL056W	2.94448267215017	NA	0	NA	NA	NA	22.9	1.05405755879124	1
YAL058W	2.70070371714502	NA	0	NA	NA	NA	28.8	1.2629106808666	1
YAL059W	2.32633586092875	NA	-1.9	NA	NA	NA	NA	1.19946685007154	1
YAL060W	2.58206336291171	NA	-2.1	NA	NA	NA	NA	2.35864574000869	1
YAL061W	2.62013605497376	NA	-1	NA	NA	NA	NA	2.21570424035038	1
YAL067C	2.77305469336426	NA	0	NA	NA	NA	NA	-0.539687191779119	0
YAR002C-A	2.34044411484012	NA	-0.3	NA	NA	NA	NA	2.54953940116485	1
YAR002W	2.73158876518674	0	-1.1	-3.9	43	0.372093023255814	25.1	1.84470236343734	1
YAR003W	2.62940959910272	0	0	-11.5	86	0.383720930232558	35.3	1.30200510403886	1
YAR007C	2.79309160017658	NA	0	NA	NA	NA	27	2.16707289640958	1
YAR008W	2.43933269383026	NA	-2.2	NA	NA	NA	28.2	1.23645041632471	1
YAR014C	2.85064623518307	0	-4.7	-11.8	151	0.357615894039735	33.9	1.3920500382788	1
YAR015W	2.48572142648158	0	0	-12.6	104	0.336538461538462	27.4	1.9743384866911	1
YAR018C	2.63848925695464	NA	-3.3	NA	NA	NA	NA	1.30299638037827	1
YAR019C	2.98855895687862	0	-2	-10.3	34	0.382352941176471	20.6	0.810919849028458	1
YAR023C	2.25285303097989	NA	-2.2	NA	NA	NA	57	0.3392392938137	0
YAR027W	2.37106786227174	NA	0	NA	NA	NA	NA	1.90202830136784	1
YAR028W	2.36921585741014	NA	-4.5	NA	NA	NA	32.4	1.64367515333352	1
YAR029W	1.86923171973098	NA	0	NA	NA	NA	NA	0.0449195609768046	0
YAR035W	2.83695673705955	NA	0	NA	NA	NA	NA	0.720257575123561	1
YAR042W	3.07481644064517	NA	0	NA	NA	NA	NA	1.35964695303284	1
YBL001C	2.01703333929878	0	-2.1	-9.2	62	0.403225806451613	20.2	2.68867751049593	1
YBL002W	2.11727129565576	0	0	-2.8	24	0.333333333333333	24.7	3.29202460067826	1
YBL004W	3.39672227850377	NA	-0.4	NA	NA	NA	22.5	1.32702703747113	1
YBL005W	2.98944981766669	NA	-3	NA	NA	NA	41.1	0.962212350800049	1
YBL006C	2.25527250510331	NA	-2.2	NA	NA	NA	30.8	1.86168872843597	1
YBL007C	3.0948203803548	0	-1.4	-11.9	50	0.42	28.5	2.14974020686379	1
YBL008W	2.92427928606188	NA	-4.6	NA	NA	NA	26.1	1.05744495167745	1
YBL008W-A	1.89762709129044	NA	-3.3	NA	NA	NA	NA	1.25205548965528	1
YBL009W	2.82994669594164	1	-2.2	-10.5	38	0.394736842105263	32.1	1.27243263208909	1
YBL010C	2.44715803134222	0	-1.4	-14.4	3	0.666666666666667	20.7	1.38440450016717	1
YBL011W	2.88024177589548	1	-1.9	-9.7	102	0.343137254901961	19.2	1.46294010005844	1
YBL013W	2.60314437262018	0	-0.1	-3.5	67	0.388059701492537	4.7	0.96416883350649	1
YBL014C	2.95133751879592	NA	-2.4	NA	NA	NA	NA	0.494026222156966	1
YBL015W	2.72098574415374	0	0	-4.3	93	0.354838709677419	21.5	1.62146182344336	1
YBL016W	2.54777470538782	NA	0	NA	NA	NA	NA	1.51734228917829	1
YBL017C	3.19838213000829	NA	-1.2	NA	NA	NA	NA	1.85965056192322	1
YBL018C	2.12385164096709	1	-0.1	-9.6	34	0.382352941176471	27.9	1.67543124099908	1
YBL019W	2.7160033436348	0	-2.4	-13.3	33	0.393939393939394	35.3	0.935420420660728	1
YBL020W	2.75891189239797	0	-1.5	-9.5	56	0.392857142857143	40.4	1.19244584152642	1
YBL021C	2.15836249209525	0	-1.7	-7.1	48	0.395833333333333	32.1	1.67725501905295	1
YBL022C	3.0542299098634	0	-1.3	-11.9	120	0.358333333333333	19.7	2.17390156325827	1
YBL023C	2.93851972517649	NA	0	NA	NA	NA	NA	1.49924161409549	1
YBL024W	2.83505610172012	NA	-1.6	NA	NA	NA	28.7	1.99381249037833	1
YBL025W	2.16136800223497	0	0	-5.1	49	0.408163265306122	NA	1.53803970953142	1
YBL026W	1.97772360528885	NA	-1.7	NA	NA	NA	30.5	2.32086661520013	1
YBL028C	2.02530586526477	0	-1.4	-6.9	28	0.392857142857143	30	1.97996657169952	1
YBL029C-A	1.9731278535997	1	0	-7.6	118	0.355932203389831	24.3	1.80960873002604	1
YBL029W	2.57518784492766	NA	0	NA	NA	NA	6.1	0.513853359329895	0
