Position	Mean	SD	End	BG	DataType
1	8.51701918526339	0.252626597255088	5	Data	RPF
2	18.2074338345044	0.405737376679166	5	Data	RPF
3	4.32596745422112	0.109603553096218	5	Data	RPF
4	3.8184862936401	0.107288943900397	5	Data	RPF
5	4.15886999890786	0.117488077469147	5	Data	RPF
6	9.27328989042193	0.186282718701081	5	Data	RPF
7	3.8184862936401	0.10454111907969	5	Data	RPF
8	3.39888601696458	0.10027085077724	5	Data	RPF
9	3.29243874913539	0.088375987476792	5	Data	RPF
10	3.32833375805453	0.106979504168335	5	Data	RPF
11	3.22559976701008	0.0956292547963158	5	Data	RPF
12	3.05231351705559	0.0980800174742437	5	Data	RPF
13	2.89140485638356	0.0803800648003204	5	Data	RPF
14	2.88397830281408	0.0846627106920529	5	Data	RPF
15	2.76762896355892	0.0888710910480906	5	Data	RPF
16	2.50522407077069	0.0788328661400124	5	Data	RPF
17	2.54607011540282	0.0801077578361062	5	Data	RPF
18	2.34060213331392	0.0675073719465579	5	Data	RPF
19	2.35050420473989	0.0781149659616295	5	Data	RPF
20	2.20816192799155	0.0636331865011467	5	Data	RPF
21	2.16112708871819	0.0695001638210346	5	Data	RPF
22	2.01135825840038	0.0658735301612727	5	Data	RPF
23	1.99774291018967	0.0686584877498271	5	Data	RPF
24	2.0039317048309	0.0792041938184863	5	Data	RPF
25	1.73410025847319	0.053446430521679	5	Data	RPF
26	1.82445666023517	0.0646729040008737	5	Data	RPF
27	1.83930976737413	0.0642768211438349	5	Data	RPF
28	1.71429611562125	0.0538920237358477	5	Data	RPF
29	1.80960355309622	0.0618384360551895	5	Data	RPF
30	1.64250609778296	0.0521839164148677	5	Data	RPF
31	1.65612144599367	0.0502901452546507	5	Data	RPF
32	1.64993265135243	0.0509709126651862	5	Data	RPF
33	1.63879282099822	0.060278859805599	5	Data	RPF
34	1.63136626742874	0.0493865812370308	5	Data	RPF
35	1.73533801740143	0.0517259456114165	5	Data	RPF
36	1.6115621245768	0.0511689540937056	5	Data	RPF
37	1.70563180312352	0.0515155265936146	5	Data	RPF
38	1.55586297280571	0.0482107102551968	5	Data	RPF
39	1.75142888346864	0.0629400415013288	5	Data	RPF
40	1.67963886563035	0.0520972732898904	5	Data	RPF
41	1.63260402635698	0.0483592413265863	5	Data	RPF
42	1.68335214241509	0.0660715715897921	5	Data	RPF
43	1.65859696385016	0.0486934362372129	5	Data	RPF
44	1.58309366922713	0.0551297826640941	5	Data	RPF
45	1.68830317812807	0.0605882995376606	5	Data	RPF
46	1.52987003531253	0.0477156066838982	5	Data	RPF
47	1.48778623175216	0.0439033091848993	5	Data	RPF
48	1.58556918708362	0.0466882667734537	5	Data	RPF
49	1.54100986566675	0.0469853289162328	5	Data	RPF
50	1.52739451745604	0.0479260257017001	5	Data	RPF
51	1.5583384906622	0.0439280643634643	5	Data	RPF
52	1.51254141031708	0.0477156066838982	5	Data	RPF
53	1.53977210673851	0.0524809785576468	5	Data	RPF
54	1.54719866030798	0.0515897921293094	5	Data	RPF
