Position	Mean	SD	End	BG	DataType
1	0.707152599259599	0.0127080570448075	5	Data	mRNA
2	0.736763605965947	0.0128409269466949	5	Data	mRNA
3	0.734390929146528	0.0128599083612503	5	Data	mRNA
4	0.730404832089904	0.0127650012884735	5	Data	mRNA
5	0.734296022073751	0.0127650012884735	5	Data	mRNA
6	0.73638397767484	0.0115596814642087	5	Data	mRNA
7	0.739231189858142	0.0115691721714864	5	Data	mRNA
8	0.743312193987543	0.0115976442933194	5	Data	mRNA
9	0.745589963734185	0.0114742650987096	5	Data	mRNA
10	0.748626990063041	0.0114363022695989	5	Data	mRNA
11	0.750335317373023	0.0111231089294356	5	Data	mRNA
12	0.752423272974111	0.0108099155892724	5	Data	mRNA
13	0.74720338397139	0.00878459865621641	5	Data	mRNA
14	0.751948737610227	0.0102499638598895	5	Data	mRNA
15	0.755460299302967	0.0102689452744449	5	Data	mRNA
16	0.755934834666851	0.00994626122700389	5	Data	mRNA
17	0.758497325631823	0.00996524264155924	5	Data	mRNA
18	0.760395467087359	0.0100221868852253	5	Data	mRNA
19	0.763242679270661	0.010060149714336	5	Data	mRNA
20	0.763717214634545	0.010060149714336	5	Data	mRNA
21	0.763907028780098	0.00985135415422714	5	Data	mRNA
22	0.76533063487175	0.00991778910517086	5	Data	mRNA
23	0.76533063487175	0.00986084486150481	5	Data	mRNA
24	0.767703311691169	0.00989880769061551	5	Data	mRNA
25	0.76590007730841	0.00987033556878249	5	Data	mRNA
26	0.765805170235634	0.0096330678868406	5	Data	mRNA
27	0.767798218763945	0.00962357717956292	5	Data	mRNA
28	0.767228776327285	0.00961408647228525	5	Data	mRNA
29	0.766754240963401	0.00962357717956292	5	Data	mRNA
30	0.767513497545615	0.00956663293589687	5	Data	mRNA
31	0.761913980251787	0.00737807583766491	5	Data	mRNA
32	0.76181907317901	0.00735624721092626	5	Data	mRNA
33	0.763622307561768	0.00733631672564314	5	Data	mRNA
34	0.763147772197884	0.00733916393782644	5	Data	mRNA
35	0.764761192435089	0.00762768143906778	5	Data	mRNA
36	0.76533063487175	0.00754985763939084	5	Data	mRNA
37	0.767608404618392	0.00772163944111676	5	Data	mRNA
38	0.766279705599517	0.0075830751148627	5	Data	mRNA
39	0.764856099507866	0.00744830707151971	5	Data	mRNA
40	0.761154723669573	0.0074074970302257	5	Data	mRNA
41	0.755365392230191	0.00738851561567035	5	Data	mRNA
42	0.755460299302967	0.00744071450569757	5	Data	mRNA
43	0.753941786138539	0.00745305242515855	5	Data	mRNA
44	0.752613087119665	0.00743122379841989	5	Data	mRNA
45	0.753846879065762	0.00742173309114222	5	Data	mRNA
46	0.75099966688246	0.00742647844478105	5	Data	mRNA
47	0.748626990063041	0.00736099256456509	5	Data	mRNA
48	0.750050596154692	0.00738661747421482	5	Data	mRNA
49	0.75099966688246	0.00741888587895891	5	Data	mRNA
50	0.752802901265218	0.00741888587895891	5	Data	mRNA
51	0.753751971992986	0.00741983494968668	5	Data	mRNA
52	0.753277436629102	0.00746918662753059	5	Data	mRNA
53	0.752897808337995	0.00747867733480827	5	Data	mRNA
54	0.754985763939083	0.00749386246645255	5	Data	mRNA
55	0.7545112285752	0.00752328365901334	5	Data	mRNA
56	0.757073719540172	0.00759636210505145	5	Data	mRNA
57	0.759446396359591	0.00764951006580643	5	Data	mRNA
58	0.75830751148627	0.00758687139777377	5	Data	mRNA
59	0.759826024650698	0.00760680188305689	5	Data	mRNA
60	0.760585281232912	0.00763812121707322	5	Data	mRNA
61	0.759920931723475	0.00757643161976833	5	Data	mRNA
62	0.762008887324563	0.00756883905394619	5	Data	mRNA
63	0.762293608542894	0.00754985763939084	5	Data	mRNA
64	0.760395467087359	0.00758402418559047	5	Data	mRNA
65	0.761629259033456	0.00753372343701879	5	Data	mRNA
66	0.762578329761224	0.00757643161976833	5	Data	mRNA
67	0.761154723669573	0.00755555206375744	5	Data	mRNA
68	0.762578329761224	0.00757073719540172	5	Data	mRNA
69	0.764666285362313	0.0075479594979353	5	Data	mRNA
70	0.763812121707322	0.00750430224445799	5	Data	mRNA
71	0.765140820726196	0.00752802901265218	5	Data	mRNA
72	0.766374612672294	0.00749765874936362	5	Data	mRNA
73	0.762673236834001	0.00709904904370125	5	Data	mRNA
74	0.76238851561567	0.00709525276079018	5	Data	mRNA
75	0.766184798526741	0.00723096987486094	5	Data	mRNA
76	0.780990301879914	0.0153180015461682	5	Data	mRNA
77	0.779187067497156	0.0152325851806691	5	Data	mRNA
78	0.781369930171021	0.0152230944733915	5	Data	mRNA
79	0.778332903842165	0.0152136037661138	5	Data	mRNA
80	0.777858368478281	0.0152230944733915	5	Data	mRNA
81	0.778902346278826	0.0152230944733915	5	Data	mRNA
82	0.779566695788263	0.0152041130588361	5	Data	mRNA
83	0.779281974569933	0.0152041130588361	5	Data	mRNA
84	0.781844465534905	0.0152230944733915	5	Data	mRNA
85	0.780041231152147	0.0152136037661138	5	Data	mRNA
86	0.780800487734361	0.0151756409370031	5	Data	mRNA
87	0.781180116025468	0.0151851316442807	5	Data	mRNA
88	0.780610673588807	0.0151756409370031	5	Data	mRNA
89	0.780990301879914	0.0151851316442807	5	Data	mRNA
90	0.784312049427101	0.0152136037661138	5	Data	mRNA
91	0.783552792844887	0.0152041130588361	5	Data	mRNA
92	0.766944055108955	0.00695289215162505	5	Data	mRNA
93	0.770930152165578	0.00698326241491361	5	Data	mRNA
94	0.767323683400062	0.006936757949253	5	Data	mRNA
95	0.767798218763945	0.00690923489814774	5	Data	mRNA
96	0.770550523874471	0.00699749847583012	5	Data	mRNA
97	0.770170895583364	0.00698516055636915	5	Data	mRNA
98	0.769981081437811	0.00706203528531832	5	Data	mRNA
99	0.771879222893346	0.00705254457804064	5	Data	mRNA
100	0.767608404618392	0.00680958247173215	5	Data	mRNA
101	0.769032010710043	0.00682951295701527	5	Data	mRNA
102	0.770550523874471	0.00686842485685374	5	Data	mRNA
103	0.768177847055052	0.00691018396887551	5	Data	mRNA
104	0.769506546073927	0.00694055423216407	5	Data	mRNA
105	0.772543572402783	0.00697092449545263	5	Data	mRNA
106	0.773113014839444	0.00701742896111324	5	Data	mRNA
107	0.77292320069389	0.00698800776855245	5	Data	mRNA
108	0.775485691658863	0.00705064643658511	5	Data	mRNA
109	0.77671948360496	0.00706108621459055	5	Data	mRNA
110	0.777763461405505	0.00706678063895715	5	Data	mRNA
111	0.779376881642709	0.00705444271949618	5	Data	mRNA
112	0.777194018968844	0.00689310069577569	5	Data	mRNA
